,source
9  VII,2
together trade he,2
District Court,2
Adam He,2
16  1989,2
1986  1989,2
Trade Unions Trade he,2
1976  1981,2
1980 KS member,2
2006 Golden Cross,2
1982 Supreme Court,2
1981 Vice - President,2
1979  1981,2
Individuals Governing Trade he,2
28,2
2  fold,2
1983  proceedings,2
Solidarity trade S,2
1982  1986,2
2012 d.4 He,2
1981  November,2
III 1961 III He,2
Organizer,2
1981 d.16 He,2
12  February,2
1989  Member,2
underground  publications,2
Kazimierz He,2
currently  Ukraine).She,2
early  he,2
currently  Belarus).He,2
21  VI,2
1982  Employee,2
born4 He,2
1957,2
Senator Rzeczpospolita Polska,2
1980 Committee Civic Committee,2
1981 Co -,2
1981 co -organizer,2
1966  Employee,2
1962  He,2
1984  proceedings,2
Antoni He,2
dozen  times,2
30  V,2
1980 trade he,2
1959 Krzysztof He,2
Nowy he,2
1978 Podlasie who,2
independent trade union which,2
underground publishing houses,2
10  VII,2
1981  distributor,2
1963,2
poor  case,2
1950 Nowy He,2
1953  He,2
interned  Isolation,2
1984–1986,2
1985 Jerzy Popiełuszko,2
Marian He,2
16  XII,2
1951 born11 He,2
XI XII,2
10  IV,2
1974,2
Member,2
1989  Journalist,2
1980 Factory Commission,2
1981  VI,2
29  XII,2
Stalowa He,2
1981  V,2
KOR COMMITTEE COMMITTEE COMMUNITY,2
3  IX,2
29 III 1983,2
Gentian Club Gentian,2
underground publishing Kolporter,2
1981  collaborator,2
Solidarity,2
1981 Provincial he,2
1  XII,2
1978  1980,2
1981 VII Co,2
1940  He,2
1980 Founding member,2
1989  1996,2
1982  IV,2
physical  worker,2
1956  He,2
Solidarity trade he,2
1956 Jerzy He,2
then Workplace Committee,2
30  VII,2
1981 trade participant,2
3  he,2
1942  He,2
Golden Honorary Badge,2
then Incident owner,1
underground J. he,1
18  XI,1
1956  She,1
1995 Polish Nursing representative,1
IV  V,1
psychological Kraków Foundation organizer,1
10th OWN ECONOMIC GEOLG,1
1988  V,1
1987 Scriptures signatories,1
2002 Board Nom group,1
Mariusz He,1
1997 Social President,1
Consultation Lech Wałęsa,1
1984 Co -,1
Solidarity IX XII,1
1955 Marek He,1
21  IV,1
2 Advocate Team He,1
Polish Metal Foundries Calimeth,1
1934 Ostrołęka area).She,1
Legal State participants,1
repressed food -organizer,1
1982 OO Jesuits,1
third Organizer Kolportage,1
1982 Social decision,1
Roman Bäcker,1
local Karpacki Euroregion councilor,1
1976  activities,1
1991 Co -,1
small Stanisław He,1
pastoral St. he,1
second Jastrzębie participant,1
1966  worker,1
well well investigation,1
then Anna Presidium,1
Maria Curie Extraordinary,1
underground Andrzej which,1
1956 Stare He,1
VIII celebration,1
Niebock K. He,1
2  President,1
1949 Sokołów He,1
III 1947 III He,1
S ZR Western owner,1
currently Michał He,1
1956 Szczepan He,1
1980 trade Printer,1
IV 27 IX 1989,1
Economic High economist,1
illegal trade union proceedings,1
24 V 1977,1
2000 Prime head,1
1962 Świecie n. He,1
2001 US spokesperson,1
1938 Aleksandrów He,1
Marceli Nowotki,1
12  SN,1
Mirosław Franciszek He,1
Chełm Lublin Tomaszów,1
9 Szczecin VII,1
2011 d.29 He,1
SOS SOR Marshal,1
1987 University Independent organizer,1
2002 Zofia She,1
Polish Lithuanian he,1
1985 Organizer 1986,1
1982 III 1982;18 Isolation,1
1970 occupation he,1
S press participant,1
provincial homeland.5 court,1
Polish State Railways,1
1956 born29 He,1
1941  He,1
journalist,1
Latin ArchbishopBolesław family,1
monument,1
12th Zbigniew Hryciuk,1
few Easter dozen,1
Western trade co,1
1988 Janusz he,1
Piotr Adamowicz,1
29 Polish He,1
political Tygodnik Borowski,1
-author Round who,1
2020 d.18 He,1
Explosive garrison materials,1
martial response Participant,1
currently Kościeniewie K. Belarus).He,1
Bulletin committee WSK PZL,1
1982 Nowy 1987,1
1959  trader,1
1990  ACCIDENTAL,1
Waldemar Baranowski,1
12 IX VI,1
Janusz Barański,1
2010 Ethnology Coordinator,1
Marek Kazimierz Barański,1
1981 Krąg publishing which,1
1976  1987,1
1948 born28 He,1
martial SB investigation,1
1992 ZR Delegate,1
2001 d.22 He,1
Górna K. He,1
Co trade organizer,1
repeatedly  he,1
25 Śląska activists,1
9 Beach Co,1
1998 bronze medal,1
1981 Mkdomisja organizer,1
1981 cash she,1
1980 Wiesław Kolporter,1
"underground Solidarity"".1984 member",1
1953 born4 He,1
independent Agricultural He,1
Adolf Chojnacki Nativity he,1
1969 Karol Świerczewski,1
1981 Commission;XI Organizer,1
25 ZK Potulice;26 V,1
Warsaw Street books.1985–1989,1
religious self employment which,1
1987 Navy XII,1
1960  1967,1
1980 COMMISSION COMMISSION,1
1986 Catholic Intelligence she,1
2008 zm.19 She,1
independent Centrumio Information She,1
1970 Catholic prof.(2004).Exorcist,1
1987 District he,1
father,1
political  President,1
1948 Borowska She,1
permanent European Solidarity which,1
20 WatchThe kw,1
first Rzeszów letter,1
1980 Self Government founder,1
2003 self he,1
Balicki Marek,1
times  inventory,1
Solidarity trade Solidarity,1
1987 KP Cooperation,1
founding  Wola;2002,1
1951 Jerzy He,1
1933 Rudka He,1
repeatedly Polish Kuźnia,1
S Podbeskidzie Region,1
Poita Lecture Adam she,1
western shipping Organizer,1
large Association Independent She,1
1951 Bogdan He,1
1988 Government Trade he,1
1984  reprints,1
parliamentary Honorary Secretary,1
Multiple,1
where  she,1
how  you,1
19 Bielsko IV,1
22 removal XII,1
1970 Cooperative Self he,1
1945 Soldier Freedom,1
1983 Lębork.27 Released,1
1990  Controller,1
2016 zm.22 He,1
1983–1984 year he,1
1981–1990,1
Dean Rzeszów I.,1
1955,1
1933 born4 He,1
then Adolf he,1
written  reprints,1
30  VI,1
1971  1984,1
currently Jan He,1
KS.Jerzy Wojciech Banaskiewicz,1
5 SOR IV,1
Stanisław Sylwester Bareja,1
70 emigration she,1
together Strachy Na he,1
25  February,1
S Nszowiek Member,1
1950 Tomaszów he,1
1970 born22 He,1
second August he,1
Jerzy Andrzejewski,1
trade unionists holiday He,1
1989 Nowa first,1
Polish draft He,1
provincial election founder,1
Polish CHMISSION CHOMISSION S,1
W PBEIP member,1
Marek Aleksander White,1
9 months IX,1
1988 District investigation,1
Wacław white,1
accused Provincial resignation,1
1981 National Poster poster,1
ZR Lake case,1
Wiesław Bielańska,1
third  participant,1
Liberal Democratic Party Niepodległości,1
independent Opole associate,1
Edward they,1
1987 Printer CDN he,1
second theater editor,1
Independent farmers;Underground participant,1
twelfth Ustrzycko participant,1
III Supreme Military Tribunal,1
1955  he,1
anniversary he,1
1959  He,1
15,1
1993 Bronze Medal,1
76 trade VII,1
car,1
II 1947 zm.22 He,1
International Labor Secretary,1
Honorary Mayor member,1
Klemens Work,1
person,1
Participant trade She,1
1983 City VIII,1
Interreligious World 2003,1
parish Holy priest,1
2009 Provincial Traffic member,1
2001 Catholic University,1
Central Approx.40 times,1
7th  Chairman,1
2001 Gold decorations,1
1986 Legal Advisor,1
1963 born9 He,1
Sejm POLSKA he,1
24  VIII,1
Zomorzączności press Solidarity,1
1990 Width he,1
1986 UNITION.In he,1
1977 Gorzowa participant,1
lower postage He,1
III Oblasie k. He,1
1972  Operator,1
Anna She,1
twelfth Antoni 1982,1
Kaliska activists,1
1948 born24 He,1
Andrzej Bischof,1
Krystyna Balechaczek,1
Solidarity COMMITTEE COMMITTEE JSP,1
29 student IV,1
1978  Employee,1
1 Democratic Party,1
independent Marek Sokołowski staging,1
same Labor IV,1
1957 born13 He,1
1965 Gdańsk Lenin,1
own  business,1
1986 Z. 1989,1
8 EJ;III VIII,1
currently Paweł Ukraine).He,1
80 Founding He,1
XI membership investigation,1
1992 A plenipotentiary,1
1 craft craftsman,1
1.5 garrison PLN,1
Bogusław Michał Bek,1
Several Rzeszów times,1
24  November,1
1949 Zenon Antoni He,1
Honorary Home Army plaques,1
1986  judgment,1
12  28,1
currently Wacław She,1
2009 Incom SA,1
9 Trade 30,1
political  he,1
1986 Student Photographic he,1
audio publishing writing,1
S trade He,1
novel unions Błażej Miazga,1
1981  December,1
1945 Jan He,1
1983 KW he,1
1968  Participant,1
Tomasz Konrad He,1
1968 centers;14 III proceedings,1
Kolporterka underground Kolporterka letters,1
Maria Julita Bodzińska,1
public Tri books,1
political Polish Participant,1
Zbigniew Bogacz,1
1988 Prasa Księżóż organizer,1
illegal III execution,1
Przemysław Mirosław He,1
criminal Wrocław Krzyki It,1
1953 Tomaszów He,1
1990  Head,1
Working head,1
Maksymilian Catholic History Kolbe,1
2004  he,1
1962  Technologist,1
1934 Nowy He,1
Hospher).They,1
2009 d.16 He,1
private Gostyński there;Author,1
1960  beer,1
Mirosław Andrzejewski,1
1980 Lenin Food,1
1987  Illustrator,1
Scientific Books Tadeusz we,1
Andrzej Kaczor,1
financial trade union She,1
Ud affairs.1990 she,1
1937 k. He,1
VIII organizer,1
othersNational  XII,1
Base Union Democrat III,1
1958 Krystyna Student,1
Hanna Egier);author rhythm vignettes,1
1992 Council Commission Department,1
1954 Radzyń He,1
1939 born5 She,1
few ownership times,1
several Self times,1
Trade Unions Trade participant,1
1980 IX 1980,1
then Solidarity Bulletin,1
Pomeranian  Voivodeship).He,1
1952 Tadeusz He,1
18th share port,1
1977).After Tychowo K. he,1
IX 1946 Krosno He,1
underground aid co,1
Marek Andrzej Borowik,1
permanent publishing He,1
XII 1981 IX 1982,1
31 KS Mo,1
1980 B. he,1
new  founder,1
multiple WIP he,1
advisory National member,1
1944 Krzysztof He,1
2  VIII,1
Archdiocesan,1
UB Sokołów He,1
Six K. Golube He,1
1968 Car 1970,1
underground Kamotnikists locksmith,1
Polish Third Polish state,1
1985 Polonia Order,1
National Rebirth Catholic Catholic which,1
there born6 III He,1
1981 strike pacification,1
II 1952 II He,1
few R-4 Gdańsk he,1
1984 High Prziestik he,1
degree Bishop He,1
Several nippling times,1
Zygmunt Błaż,1
Criminal police proceedings,1
1950 Marek He,1
Red service,1
2018 Zielona She,1
63/1).1 II,1
coastal publishing newspapers,1
next  Chairman,1
photojournalist,1
1939 born16 She,1
SiiPM Management Collaborator,1
political trade majority,1
1949 Nowodworze K. She,1
1977 emigration thing,1
1955 Stalowa He,1
Activity John Bryłowskiego,1
interrogated printing revisions,1
Izabella Bronikowska,1
1974  Teacher,1
Kolporterka underground publishing houses,1
IX 1989 IX 1991,1
1981 National Committee,1
1981 Scientific he,1
informal  Aid,1
1952 Wysokie He,1
1976 Sejm POLSKA editor,1
own Social Plenipotentiary,1
following Labor he,1
1982  Conservator,1
1948 born25 He,1
member strike participant,1
IX X,1
there born30 He,1
2014 d.2 He,1
also Supreme -organizer,1
polygraphic worker Initiator,1
Ursus;1978 1981,1
1984 Jan she,1
Suwałki Intermediate,1
Wielkopolska Poligrafii,1
1981 Anna Co,1
Trade Unions Trade 2000,1
31  VII,1
1939 Andrzej He,1
Lech Chmielewski,1
offset  initiator,1
"1980 S"";Vice Chairman",1
1999 Supervisory Delegate,1
Polish Cross,1
Golden medal,1
1995 Medical Organizer,1
1963 school participant,1
1979  March,1
together Zbigniew I,1
Ecole des Hautes,1
lifetime 1998);He,1
1971  1981,1
1978 DIP Report,1
Marek He,1
15 trade union 1982,1
Plastic he,1
2005 Senate President,1
KOR trade Author,1
exempt Nowy VII,1
Ewa Bugno Zaleska,1
1976  Decorator,1
then  Chairwoman,1
IX 1989 IX II,1
times  1984,1
Scientific Catholic University,1
1985 Wacław XII,1
Delegate trade Region,1
main John Józef He,1
long Competition Member,1
research  Member,1
1988  VII,1
Aviation Industry National Aviation Delegate,1
1991 Wojciech he,1
illegal art which,1
1980 Collaborator MKommisja he,1
80 Catholic Social She,1
1953  VII,1
1960 Marek He,1
1944 Polish Academy,1
parliamentary Provincial Election he,1
1988 day organizer,1
commercial shooting he,1
1998,1
1980 Aleksandra von Humboldt,1
Diocesan  Archdiocese,1
III 1965 III He,1
1947 Romuald He,1
1988 Śląsko Dąbrowski he,1
Central Trade Region,1
second IX He,1
2002 City Hall activist,1
Golden Cross Golden monument,1
12 Feeding IX,1
then KW KW 6/1982,1
long -term revision,1
many  includingIn,1
1951 Janusz He,1
1965 born11 He,1
thanks Stanisław Stobiecki).1986 he,1
1979 self education X,1
10 protest VIII,1
Zbigniew Chłap,1
psychiatric specialist XII,1
small  He,1
1998 Morskie Port Member,1
1983  devoid,1
20 IX 1989,1
Andrzej Celiński,1
1977 trade 1980,1
non Democratic Party -,1
1943 born3 He,1
Board.1998 WiceCancer WSH,1
S trade Land,1
1995 Piotr He,1
Polish Ergonomic head,1
regularly  called,1
2002 Polish diaspora President,1
1988  Inspector,1
Bartosz member,1
1936 born4 He,1
Polish Art Auction income,1
SO Sanatorium;1980 1989,1
1980 SOR KRPT.Student;22 files,1
1986  VI,1
1989  Pastor,1
independent Market which,1
1974 Golden Medal,1
IX 1945 d.11 He,1
social draft Roadholding We,1
Rzeszów I Solidarność,1
1983 II Casual,1
III 1968 III she,1
independent student she,1
1980 founder MKOMISJA member,1
1991,1
Marian Alojzy Lemke,1
1981 2 II,1
Wojciech Janek,1
founder  S,1
5 Tadeusz he,1
1979 Centrumio signatories,1
1976 WSS Department,1
10  XII,1
28 Nowy XII,1
1954–1958 High 1958–1962,1
late Honorary President,1
currently d.27 He,1
there KW Isolation,1
harder health WPZP,1
Solidarity trade Casual,1
III 1955 III Dolnośląskie,1
1975 Economic Academy,1
horizontal enterprises they,1
Polish UNIETTYD STATES,1
1988  coordinator,1
Agricultural Sokołów education,1
1944 K. Sokołów it,1
Technical onElectronic Gdańsk University,1
8 Jerzy IV,1
2005 Council founder,1
1992 government which,1
750 Tygodnik Mazowsze,1
entire Gdańsk renovation Faculty,1
1942 born4 He,1
Witness,1
1980 communication he,1
activist aid participant,1
1951 Longin He,1
Sor Bus,1
Mo WZ.V WiSw,1
9th PZPR investigation,1
Polish Cathedral,1
1942 Stary K. He,1
1931 Krystyna She,1
professional  she,1
Zakładowa  S,1
dozen person which,1
Committee Brown Coal President,1
Komuna Paris,1
1981 V Author,1
8 Complementary VII,1
serious Jan he,1
1977  clerk,1
sharehold Founding commission,1
2010 zm.29 He,1
Żoliborz Kuronia,1
born14 IV Rutki k. He,1
1987 State Machine he,1
Mirosław Chojecki,1
7  iv,1
1989  which,1
University,1
care priest Antoni organizer,1
V 1989 22 WOG,1
main Stefan Cardinal goal,1
where Kolporter it,1
Rzeszów.1982 1989 Underground press Solidarity?It,1
1981 Printer leaflets,1
20 III 1978,1
1984 Co Multiple,1
prudent  he,1
1991 W. proceedings,1
III he,1
3  VII,1
1954 born23 He,1
S Lech -,1
8 Committee Civic Committee,1
1953 Zbigniew He,1
1981 Incident Co,1
Private Consulting DYR.Trade,1
repeatedly interrogated.20 VIII,1
Wiesław Cichoń,1
host,1
1958 born11 He,1
initiator co S,1
12  December,1
underground publishing Writings,1
Wojciech Ciesielski,1
1990 election she,1
Teresa Cieplechowicz,1
11 Amnesty International,1
high center member,1
mechanic DYR Chief,1
21  VII,1
1957 Mieczysław He,1
1982 KPN 1989,1
Commission Historian Democracy he,1
Bogumiłki K. He,1
case,1
Jarosław He,1
23  II,1
1941 Roman He,1
2000 zm.7 He,1
Ignacy Tadeusz Wyżyk,1
1980  -,1
1971  1976,1
1948 Jasieniec He,1
IX 1954 IX He,1
1981  Collaborator,1
scientific Mała Poligrafy author,1
writing team writing editors,1
Józef Antoni Glory,1
occasional house Archive He,1
Oskar Stanisław Czarik,1
Kobyłka.1995 2004 Kobyłka.1995 head,1
Stanisław Bartmiński,1
1959 born13 He,1
participant stocks.28 VII,1
1950 Jerzy Zygmunt He,1
temporary Factory inter,1
1989 Responer he,1
there Martal Member,1
1953 Stanisław He,1
vicar,1
thankful Rudnik Sanem,1
Then  he,1
80 Roman organizer,1
retreat Father Jan Alfons,1
VIII 1957 VIII Jesus,1
independent Kolporter Funiversity,1
3 14 judgment,1
1981  banner,1
1992 Community 2014,1
Temporary Kielce activist,1
representative KBWE participant,1
1949 b.4 He,1
Kazimierz Chwesiuk,1
1981 Individual I,1
underground  publishing,1
protest he,1
25th  badge,1
Konstanty Ciaciek OFMConv,1
1980 Academic John,1
includingEvery Corpus Christi rooms,1
Grzegorz Leszek He,1
structures Independence Club,1
1995  Chairman,1
1980 Jasna he,1
twelfth III he,1
1992 lustration court,1
Repeatedly anniversary Co,1
Andrzej Ciszewski,1
24  XII,1
Lower Activist,1
Militari V class,1
Kolporter printing Publishers,1
Consultant,1
1981 File Scouting 1974,1
1958 born22 He,1
1981 Telewizja Polska he,1
Press Book he,1
1940 born6 He,1
1978 COMMITTEE COMMITTEE 1981,1
IV 24 IV XII,1
old born6 He,1
1984 SB he,1
1968 Wrocław author,1
1950 Leszek He,1
financial St. he,1
2009 zm.22 He,1
1974 Bielska Factory Brushes,1
VII 1980 VII Participant,1
2012 Bielsko She,1
Banner Michael Archangel,1
1982 Music teacher,1
25  XII,1
Hubert.1973 1974 Agricultural Machinery Agromet,1
Solidarity Trade Solidarity,1
Nationwide XI Organizer,1
2009 zm.28 He,1
1953 Free Youth he,1
many St. Brother Alberta,1
1931 Tadeusz He,1
1990 Land construction,1
patriotic Church He,1
1981 Renewal he,1
1982 Lublin.1982 He,1
1980 SKS collaborator,1
1988 Fryderyk Ry,1
1991 Lower 1995,1
2013 Lothar Herbstars,1
21 Janusz He,1
interrogated.1982 1986 Co -,1
other Collaborator B. Contacts,1
1975  Inspector,1
1980 VIII co,1
28 Franciszek He,1
criminal  proceedings,1
1980 Solidarnost Books,1
1964  1973,1
Solidarity trade workers,1
Lubartów.1994 Deputy head,1
1980 trade Member,1
Jarosław Deminet,1
Władysław DMuch,1
Krzysztof Dobcki,1
independent Warsaw he,1
5 Trade unionists,1
1980 Strike Organizer,1
presidential Great he,1
Citizen M. Samszka,1
"Solidarity Underground"";1984 Solidarity 1986",1
1999 Disabled Department,1
26 IX 1989,1
1934 born25 She,1
3rd Polish Radio Grunwaldzki,1
Maria Krystyna Dłużewska,1
1935 Nice K. He,1
1943 on21 She,1
1983 Matrice stopped.and,1
SolidAmności trade he,1
1985  March,1
Poultry Poultry organizer,1
1956 Międzyrzec He,1
multiple St. revisions,1
2016  Cross,1
20 V 1968,1
Repeatedly Andrzej he,1
criminal Rzeszow Ustrzycki he,1
1980 custody Dozens,1
1980 Free Discussion Publisher,1
1977 Szczecin originator,1
Pastastor  S,1
there Company Cooperative -,1
zm.26 b.8 graduate,1
1980 Polish Artistic income,1
watercolors  works,1
1994 Świeradowie He,1
10 Military District penalty,1
IX Provincial Court,1
where Provincial Hospital he,1
2012 Zbigniew He,1
so Eve Reduction,1
2010 subject she,1
25 born2 1995.He,1
29 years VII,1
Angular leaveGeophysics;A graduate,1
Creative Group which,1
1980 trade she,1
1977  he,1
repressed Jerzy Kolporter,1
harder Press stage,1
Jan Dziado,1
3  1983,1
KS.Władysław Drewniak,1
1972–1975,1
6 Warsaw Military imprisonment,1
parish priest,1
III IX KW,1
1958 born3rd He,1
geological AŚ Warszawa technology,1
20  XI,1
» Higher Schools,1
1965 Gorzów He,1
martial Jerzy participant,1
Eugeniusz Dryniak,1
1990 Mazowsze Hutnik,1
underground Huta participant,1
2007 Catholic Action Member,1
1966  Vicar,1
1981  Pastor,1
Several Trade times,1
1980 factory Member,1
1945 Warsaw he,1
1982 tooth employment,1
1948 Debut he,1
directorand  President,1
al.;Co television entertainment 's,1
times Solidarity 1988–1989,1
1989  Co,1
Film actor,1
cells,1
S Municipal Service retired.1994,1
"underground S"".1984 Author",1
KS.BP.Roman Andrzejewski,1
XI Commission.1995 IV XI Education,1
leaflet Underground organizer,1
German Polish he,1
1980  December,1
vice Episcopate Press -,1
KOR COMMITTEE COMMITTEE COMMITTEARS,1
Column Collection,1
20 food points,1
also Home He,1
1983 court organizer,1
1982 protection Brygida,1
Editor Incident Letters,1
twelfth  participant,1
1984 Leszek Hope,1
1983 Tadeusz he,1
24 Warsaw VI,1
deserved  culture,1
1952 born16 He,1
mechanical plantsMarceli 1975,1
1982 Supreme remission,1
1997 publishing bookstore,1
1987 John Paul he,1
supporter,1
1995  He,1
away  he,1
Piotr Dyk,1
opposition he,1
free trade decision,1
medical Saint wife,1
IX 1951 IX He,1
1980 strike member,1
Social employees.1986 1988,1
Nonet ke Mongoose;From,1
20 Warsaw 1982,1
1949 W He,1
independent  member,1
numerous IncludingNaděżda Mandelsztam,1
underground trip.1982 organizations,1
1975  educator,1
31  V,1
1931  She,1
together  case,1
1942  XII,1
Radom 1984,1
1981  procedure,1
Mieczysław Domaradzki,1
8th  activist,1
1979 PZPR He,1
"Editor underground Editor voice"";We",1
dozen  minutes,1
16 strike XII,1
70 Nowa He,1
patriotic Huta he,1
23  XI,1
Andrzej Drawicz,1
first organization Republic,1
Gypsy folklore Author,1
1976 strike participant,1
2008 Dean Physics member,1
1973  Supply,1
18 IX 1989,1
Waldemar hole,1
1988 apartment.29 participant,1
several  times,1
60 Higher Vocational laureates,1
1998  Medal,1
habilitation work,1
Health Care Chairman,1
forties Agonia,1
1952 on6 graduate,1
de TV He,1
1978  VI,1
2000 trade Organizer,1
1981  issuing,1
War Z. drama,1
Zbigniew He,1
1982 Silesian Military 1988,1
1966  Instructor,1
1989 Minsk released,1
WatchIII TW materials,1
works  he,1
1974  1991,1
Marek Henryk,1
VIII member,1
1951  Member,1
underground literary work,1
59 Poland author,1
1933 born23 He,1
underground Kolportage Lisków,1
Krzyk Independent Information Bulletin.4,1
Łucja she,1
ruined  effects,1
1972  1973,1
1981 A. that,1
3 Supreme Court,1
there  Co,1
Road UD head,1
Medal Pro Memoria,1
XXVI street it,1
Second General Ministry,1
1987 42 PLN,1
1984  1988,1
monthly Nowy I,1
Polonia New he,1
real  meetings,1
scientific diagnostics;A he,1
Krzysztof Figel,1
2002 Municipal Office;Bmmetly,1
Huta Aid i,1
Grade Trade Head,1
MO III-1 WZ.III,1
Marta Fik,1
Independent IX 1984,1
Chronicle -five she,1
"Editor Bankowa Gazeta"".1987",1
several Poland Economy,1
1980 telesfora chairman,1
born8 Andrzej He,1
13 Wojurska XII,1
then Rzeszów that,1
underground St. Stanisława the,1
Włodzimierz Filipek,1
SKS activist,1
years Fine he,1
medical Chemistry specialist,1
1935 born8 He,1
2 others VII,1
1982 Radzyń Podlaski.26 he,1
leaflet trade he,1
1983 District Office,1
