,target
activists Ustroń Polanie,3
mining Katowice,3
MO EC Krypt,3
Radom,3
St. Maksymilian Krakow Mistrzejowice,3
underground  publications,3
technical  Olsztyn,3
high  Opole,3
country,3
Polish Scenes .,3
Suor Krypt,3
own  business,3
pastoral St. Warsaw,3
Second High Gdańsk,3
1981 Gdańsk ZR,3
technical Bielsko Biała,3
Basic Vocational Warsaw,3
photographic  1978,3
approved  Poland,3
technical  Szczecin,3
1981 Freedom Justice Independence,3
1989 SOR KRPT.Circle,3
ThroughoutIII crypt sauce,3
independent  publications,3
repeatedly  home,3
1970 Social Gdynia,3
independent publishing house,3
electric  Toruń,3
1950  Warsaw,3
professional Committee Civic nyes,3
chemical technical chemical Tarnów,3
November,3
railway technical Nowy Sącz,3
vocational  Gdańsk,3
technical  Łódź,3
revisions,3
SOS KE crypt,3
1981 Zielona Góra,3
Catholic Lublin,3
high  Szczecin,3
Trade Union Solidarity,3
Poland Rebirth,3
Silver Merit,3
winner Polcul Foundation Award,3
opposition activities,3
5 Jelenia Góra,3
independent publishing houses,3
Irregular Professional Nevils,3
retirement,3
KOR COMMITTEE COMMITTEE COMMITTEE,3
1988 Sor Krypt,3
Zielona Góra,3
Provincial Council,3
WatchIII SOR crypt,3
party,3
underground  activities,3
vocational  Płock,2
1988 St. SG,2
vocational  Warsaw,2
1988 strike SG,2
job,2
Podkarpackie Voivodeship,2
Gdańsk Shipyard,2
WatchV Sor Krypt,2
S Ostrów Mazowiecka,2
Technical Secondary Gdańsk,2
many  times,2
conditionally State Council,2
23  VII,2
martial Podkarpackie Voivodeship,2
Lubin,2
Railway Technical Wrocław,2
priestly Catholic Lublin,2
Bialystok,2
geodetic  Jarosław,2
1980 Scientific Courses,2
1980 Founding Committee,2
Nowa Sól,2
editorial New evening,2
1990 Branch function,2
Ostrów Wlkp,2
graduate Catholic Lublin,2
SO KW crypt,2
professional  study,2
Maria Curie Lublin,2
1980 SB officers,2
1981 Factory Delegate,2
22 Scientific Courses,2
KOR Nszów Vocational Union,2
Germany,2
KOR Nszowień Professional,2
registered Verba publishing house,2
employment,2
chemical  technician,2
underground,2
Polish John Paul Poland,2
KW MO SOR KRPT.Editor,2
Gdańsk Technology,2
Distinguished Culture activist,2
death,2
lower  position,2
2005 Rzeszów truth,2
Slow Word Association,2
independent student association,2
1947 Main Warsaw,2
Professional Nystezek,2
Polish trade scenes,2
1950 Rural Warsaw,2
High School Tami,2
car Warsaw,2
Jasna Góra,2
High School Tam,2
Fine Krakow,2
electric  Malbork,2
vocational Gdańsk renovation shipyard,2
there crypt sauce,2
EC crypt,2
1986 Jasna Góra,2
1980 Founding Company,2
fine  punishment,2
hospital,2
third John Paul Homeland,2
2010 Management Board,2
Mo Crypt sauce,2
Podbeskidzka truth,2
High Warsaw,2
1987 EC crypt,2
SOR KRPT.Rhenium,2
military  service,2
underground holiday God,2
cultural Poland activist,2
S First Commission Map,2
children,2
letter,2
nationwide Jasna Góra,2
striking coast workers,2
vocational  Łódź,2
Solidarity trade Warsaw,2
1981  Iława,2
Gardening Sochaczew,2
underground  letter,2
underground publishing houses,2
mechanical  Wrocław,2
Region First Commission Map,2
1979 Thought Center,2
pastoral Maksymilian Maria Lubin,2
1981 Starogard Gdański,2
Medal Culture Gloria Artis,2
1981 Professional Nieznie,2
Christian culture weeks,2
main  Gdańsk,2
strike,2
2007,2
mechanical  Chełm,2
Trade Union Governing Trade Individuals,2
abroad coordination Brussels,2
appreciated  Poland,2
48 trade revisions,2
Nszowiek Professional,2
5 EC Krypt,2
underground  structures,2
1988 Lesser Poland,2
Bronze Merit,2
High Rzeszów,2
1981 Wonder Tarnów,2
1984  work,2
Economic High School,2
repeatedly  country,2
Chairman Professional Nieznieżek,2
Solidarity S. Katowice,2
times  searches,2
1980 Working Council,2
1988 EC Krypt,2
free trade unions,2
2006  retirement,2
independent  Kalisz,2
Technical Gdańsk,2
1950 Gdańsk Technology,2
Second High School,2
mechanical  Gdańsk,2
Region Earth Trade Union Solidarity,2
2 EC crypt,2
repeatedly warning conversations,2
1 school Elbląg,2
Angular  Krakow,2
Wrocław Technology,2
IX 1989 crypt sauce,2
III Sor Krypt,2
hymn Lluía communism,2
High Siedlce,2
1970 Szczecin shipyard,2
DepartmentIII SOR crypt,2
48  revisions,2
Piaseczno,2
Solidarity trade Centrumio,2
United States Party,2
passport,2
away L. ZR,2
graduate Nicolaus Toruń,2
technical  Poznań,2
Australia,2
Solidarity trade Gdańsk,2
1978 Scientific Courses,2
Christian Catholic Intelligence culture,2
distinguished Polonia Restituta,2
crime,2
WatchIII crypt sauce,2
Mo Sor Krypt,2
repeatedly  offenses,2
1970 KW Szczecin,2
car,2
Technical Szczecin,2
S  activists,2
Poznań,2
1989 Round Table,2
electric  Gdańsk,2
1981 Independence Services,2
ZR,2
car Olsztyn,2
KE crypt sauce,2
1981 1st Commission,2
1986 Catholic Lublin,2
. Solidarity Network Krakow,2
1980 Jan Kozłowski,2
White Eagle,2
S Lech Wałęsa,2
Electromechanical Technical School,2
Mazovian 1982 region,2
V SOR KRPT.Optimists,2
revisions  apartment,2
pastoral OO monastery,2
Sieradz,2
free  Głogów,2
vocational school .,2
University Catholic Lublin,2
IX 1980 August Agreements,2
vocational Stalowa Wola,2
1952 Gdańsk Technology,2
own law firm,2
2 SOR crypt,2
Bureau Committee,2
11th Freedom Justice independence,2
1983 crypt sauce,2
Stalinist Political period,2
radio,2
technical  Lublin,2
Szczecin Kamieńska,2
Polish Hungarian Solidarity,2
1956  Warsaw,2
MO Sor Krypt,2
High School Tamz,2
mechanical  plants,2
railway technical school,2
1 Silesian Military year,2
Solidarność SOR crypt,2
weekly Gazeta Polska,2
USA,2
Ostrów Wielkopolski,2
vocational  Jarosław,2
high  Wrocław,2
1989 Professional Nevils,2
1980 strike S,2
cultural Golden activist,2
1981 Piotrków Trybunalski,2
1986 Provincial amnesty,2
1986 crypt sauce,2
Technical Secondary School,2
1980 occupation S,2
vocational  Malbork,2
others,2
nuclear power Żarnowiec,2
ZSRS,2
authorities,2
vocational Bielsko Biała,2
1983 years amnesty,2
technical  Rzeszów,2
3 years years,2
posthumously Polonia Restituta,2
Rzeszów,2
high Nowy Sącz,2
professional Civic nyes,2
100th Poland independence,2
1988 EC crypt,2
1987 SOR KRPT.Epigonia,1
1998 Commission Research 1998,1
quarterly International Ecological centuries,1
municipal trade union activities,1
1989 MZK 2004,1
Secretary Olsztyn.1986 ZR,1
MO SOR KRPT.Delegate,1
law demonstration participants;Co S,1
car Kalisz,1
provincial Metalwag Labor Wolfen,1
Marek Kalisz,1
medical  study,1
medical Janusz Kutyba,1
disabled GallerySienna people,1
civil Warsaw Pastoral right,1
Insurance Polish Brokers,1
vocational  Szczecin,1
23 III 1983,1
locksmith quality machines,1
striking Signatory workers,1
1988 St. Gdańsk,1
European postgraduate Rzeszów,1
1985 Gdansk Poligraphic Gdańsk,1
1961  Elbląg,1
Wilhelma Ursus,1
Central  region,1
2009 Poznań IPN,1
public  Kutno,1
exile Ryszard Freedom,1
1987 State Higher Łódź,1
new photo publication,1
Vienna offset Jakub Sweden,1
me,1
higher car management,1
trade union trade S,1
1980  S,1
Solidarity SOR KRPT.Karierowicze,1
pastoral Mary Świdnik,1
3 year retirement,1
Śl.1946 1949 Youth;1956 PZPR,1
communist Natali Gorbaniewska,1
underground  Solidarity,1
11 strike VII,1
Polish  war,1
Independent Self Individual Farmers,1
again Przemyściewody Przemyśl,1
law Bielsko Work Cooperative,1
1979).A Political Science,1
underground Jan Milewski,1
Chemical Technical Ełk,1
own law 2010,1
1981 Marek Turno,1
underground video Studio Gdańsk,1
also Marek Biernacki,1
2007 FMW Association,1
Ministrysk Częstochowa,1
electrical  Szczecin,1
scientific Poland printing S,1
SOR KRPT.Tick,1
illegal trade union activities,1
Warsaw Economic Society,1
free Self Sejm,1
editorial Tygodnik Solidarność,1
employment.1982 1989 Casual works,1
Kaczyński.1984 1989 Rural Farm,1
Cultural Lodz,1
Poland Switzerland,1
1981 COMMISSION COMMISSION COMMUNITIES,1
1986 SOR KRPT.Federation,1
4  years,1
S Professional Niejzek,1
Solidarity Provincial Kłodzko Land,1
1995 smoking alcohol,1
1986 Lublin region,1
underground Kamienna structures,1
tourist popularizer society,1
2006 Supervisory PGNiG,1
police ships,1
further KlubboKand NYSY).The business,1
energy  Szczecin,1
trade unions Parliamentary Club Szczecińska,1
1982 family Suwałki,1
Independent Word,1
grade EC Krypt,1
VII 1982 Food Industry Plants,1
Polish Belarus,1
state Radom,1
S  ZPSS.He,1
Committee trade 1997,1
Economic Program National NshezekProfessional,1
Solidarity Parliamentary Poznań,1
Trade Unions Dariusz Kobzdeja,1
Accounting State Railways 2009,1
working trade seminar,1
democratic initiative side,1
-author Round table,1
Opole auxiliary bishop,1
main Opole amphitheater,1
still Connected Aid diocese,1
honorary  S,1
single family Szczecin,1
S Western Pomerania Region,1
striking port Szczecin,1
2003 Bachelor Honor Freedom,1
automatic Gdańsk cooperative,1
definite contracts period,1
1989 round science,1
Here Ryszard Opole,1
then Mkdomisja Zakładowa company,1
circular Krzysztof table,1
mechanical metal Radom,1
national Fallen 2016,1
Ship Szczecin,1
central Shipyard A. Szczecin,1
1981 Regional Audit Committee,1
several hour country,1
MO EC KRPT.Lock,1
S Professional Research Rzeszów,1
2004 Christian Entrepreneurs,1
1985 VI EC,1
High School Linguist,1
bruised VIII Fr,1
1989 Radom engineering Radom,1
Self education Formation Rzeszów,1
2009 Philosophy prof,1
1980 Social students,1
1992 engineering;A Habilitation,1
responsible  production,1
organizer Warsaw Warsaw,1
SOR KE crypt,1
persons;Repeatedly aid SB,1
Polish Scenes Tam,1
KRPT.Juggles;1985 CRITE Case,1
newly . Poland,1
Warmia Society Association,1
light self employment life,1
1937 Catholic Lublin,1
Katyn Opole anniversary,1
1987 Foreign Przedsiębiorstwo Lublin,1
1989 SOR KRPT.Five,1
calledRound Better table,1
Rencists National Łódź,1
1987 SOR KRPT.Horror,1
28 IX offenses,1
dormitory,1
undetermined W. Cieślewicz,1
1981 strike Warsaw,1
Grodzisk Wielkopolski,1
films opposition publications,1
car Lublin,1
renovation Kolporter plant,1
DepartmentIV KW EC,1
39  hours,1
Solidarność Lech Wałęsa).1991 1992,1
Heavy Bolesławiec,1
Individual Farmers Legnica Legnica,1
Individual Farmers Legnica voivodship,1
structural People Christian pension,1
1983  favors,1
school walls,1
underground audio Oleśnica,1
Sea Gdańsk,1
fundamental car Police,1
2001 History 2008,1
multiple postage home,1
private Poland Radio,1
Radiotechnical Technical Dzierżoniów,1
National Poznań,1
Christian Ludwika culture,1
medical  striker,1
25 solidarity Poland,1
1985 Catholic Lublin,1
28 Warsaw IV,1
priestly  1959,1
then Honorary Israel,1
FacultyIV SOR crypt,1
3 Andrzej fine,1
1997 Common Good,1
1976 radio Socialist,1
polygraphic opposition representatives,1
research Department broadcasting,1
pastoral Christian Culture Homeland,1
Dobrzański Basic Vocational Radom,1
Jedlin Museum,1
Olsztyn PSS part,1
Secretary Republic Dyzma Gałaja,1
Łódzki underground,1
1989 BAFF production company,1
open PAU PAU,1
Cardy Karol Krakow,1
binding construction Opole,1
70 Rural Youth,1
2007 Line telecommunications 2007,1
Delegates Ustroń Polanie,1
religious Nszów Vocational Union,1
6 District freedom,1
governing Rural provinceBiałystok,1
1982 26 MO;Released,1
1981 remuneration Świdnica,1
Fund Polish Development Fund Foundation,1
agricultural  Jarocin,1
FacultyV SOR crypt,1
psychiatric amnesty.1984 Ząbki,1
III SOS/ KE crypt,1
foreign National Professional Niezniezek,1
65  Łódź,1
11 Independence Day,1
pastoral South Eastern 1998,1
Rzeszów KM Wydz,1
Polish Wrocance,1
1  prison,1
political opposition program,1
trade unions EGO Szczecin,1
1953 Medical Gdansk,1
major III anniversaries,1
PROPERTING  Toruń,1
2003 Legal Toruń,1
parish retreat help,1
political Stefan Wyszyński science,1
poor health;The proceedings,1
leaflet police child,1
sales press,1
1987 Wacław Hennel,1
Garwolin region,1
3 years V,1
Dziennik Polski,1
there carpentry Warsaw,1
Edward W.,1
1981 ZR Śląsk Opolski,1
Ps Opole Bulletin,1
2006 Municipal Department Opole,1
graduate  Radom,1
Aleksander Kwaśniewski,1
primary  procession,1
1981 occupation strike,1
1975 Agricultural pension,1
agricultural Orthodox tax,1
Milk protest paws,1
1995 Witold ROP,1
President Aleksandra Kwaśniewski,1
schools.1985 School Sports Association,1
2002 Vice Częstochowa,1
2001 Silver Poland,1
Foundation ZR BanDar Foundation Konin,1
Culture.1987 Pastoral Italy,1
1984 St. Konin,1
LVI High Warsaw,1
1990 Antoni president,1
Tam.1927 1931 Polish Philology,1
Tomaszów Maz,1
S Śląsko Dąbrowskiego region,1
approx,1
Soviet  repression,1
Bulletin Chairman Professional Nevils,1
1981 Mazovia region,1
underground Independent Publishing Fund,1
independent Jerzy Łojka,1
commercial Versus publishing plants,1
own Manager business,1
also 1983).1981 Law,1
1 school Warsaw,1
2000 Entrepreneurship Support,1
lower postage position,1
1983 Edward Dembowski Warsaw,1
2007 Film Studio,1
dental  technology,1
Committee self employment MPT,1
2 school Toruń,1
1984 PKS Tczew,1
various Starogard April,1
1994 City 2017,1
13 National Poster XII,1
then Self government Bureau,1
1994 Catholic Szczecin,1
2 Polish Scene Drezdenko,1
1955 Polish Philology,1
standing  position,1
artistic plastic opposition,1
1978 SPOMASZ Białystok,1
revisions struggle.1982 apartment,1
internal combustion engines,1
million District losses,1
Wierzowiecki trade Beef,1
course,1
public Provincial transport,1
free trade coast,1
sociological Poland Sciences,1
1987 Editor -,1
Repeatedly warning talks,1
photographic Gdańsk Photographic Society,1
provincial Bielsko Biała,1
cooperative Maciej Płażyński,1
2014 PO Justice,1
1970 street Gdańsk,1
1986 strike pension,1
12,1
electric Huta im,1
1988 round table,1
next SLEE DĄBROW region,1
entire Edward city,1
1978 Provincial Council,1
1981 Independent Student Association,1
Provincial Trade Unions,1
1980 Initial WPKM,1
University Środa Foundry,1
High Bytów,1
KWW Jerzy Batko,1
vocational  Trzebiatów,1
S Agricultural Team,1
S Western Pomerania,1
2014 ZR Lower Bureau,1
1956 Kashubian association,1
3 Gdańsk);In Gdańsk,1
nationwide Rural Solidarity Warsaw,1
Nzniazek trade unions,1
48  schools,1
degree  dorm,1
1983  amnesty,1
vocational  Bank,1
90 Sanitary Transport 1999,1
SOS SOR KRPT.Matrix,1
WatchV KW sauce,1
Helsinki Poland,1
Maltese PO program council,1
1 craft cooperative,1
Polish health Olsztyn,1
committee trade ZR,1
1988 Independent Student Warsaw,1
real  1992,1
Solidarity K Mining Section,1
Angular USA).A Krakow,1
prize Independent Culture Committee,1
older Antiquory Mr.,1
Electric Technical Technology,1
systematically  WSW,1
chemical technical chemical Wrocław,1
1987 Clothing Industry Wrocław,1
permanent Bielsko employment,1
12 Kashubian Pomeranian Association,1
reactivated Supreme Party Council,1
SB.1979 1980 Organizer approx,1
1985 Altar;1982 1984 5,1
-secondary  Rzeszów,1
new Teodor Ursyn);A record,1
first Mechanical Nysa,1
Mechanized Radom Przedsiębiorstwo Engineering,1
1984 SOR crypt,1
1980 Officine Now printing,1
1989 Polish Radio,1
1964);A State Technical cartography,1
othersWhen Book Publishers,1
public adviser Szczecin,1
regional government retirement,1
1944  Gdańsk,1
1982  retirement,1
radio communication ZR,1
communication Gdańsk,1
temporary MKommisja Krosno,1
Angular Oil Faculty,1
vocational Tomaszów Lubelski,1
2008 Non - Party,1
1979,1
arrested Nowa Mirosław EC,1
1960  mountains,1
weekly Poland Rebirth,1
1999 Podlasie Siedlce,1
cutting tool Siedlce,1
1994 Audit POH,1
satirical Tygodnik drawings,1
nationwide KS Warsaw,1
1947 Nicolaus Toruń,1
fundamental mining Czeladź,1
1980 Works Committee,1
S working them,1
1999 Polish Botanical Society,1
1 Polish Scenes Chodzież,1
Lubian.1982 1989 Konrad July,1
same Gabriela name,1
1989 Professional Niejrezek,1
1989);A Warsaw Economics,1
underground postage books,1
so calledThey talked,1
1991 UMK library,1
1989 Szczecin Gryfia,1
auxiliary Przemyśl Latin,1
Nursing Wrocław,1
1 Polish Sciences,1
1984  S,1
martial Świdnica 2009,1
Mo SOR KRPT.Editor,1
mechanical  L.,1
family majority,1
1981 Provincial Office,1
Social school majority,1
1989 SOR KRPT.Firemen,1
political interconnection discussion,1
Dutch Nowy Czarnów,1
Currently National Cryptology Center,1
collective work energy,1
room ambassador,1
Kalisz veterans Kalisz Częstochowa,1
independent Holy Lublin,1
diocesan Polish harvest,1
Przemyśl,1
initially Toruń Solidarity underground,1
graduate Postgraduate Katowice,1
again column PZPR,1
pure union traffic,1
ultimately Opole University,1
employee interests,1
othersWith Ryszard Nonce,1
vocational  Radom,1
48 John Paul Lublin,1
1999  Poland,1
1988 Association Catholic Lublin,1
Association New Index,1
1990 Jacek 1989,1
1991 Virgin Lublin,1
1942 born14 Warsaw,1
1948 Mining Angular Krakow,1
therefore Trade Katowice,1
1984 SB Katowice,1
Social XI Council,1
Central Catholic Region,1
worse Omkp job,1
domestic TP Catholic Central,1
cultural National Remembrance,1
KOR Nszów Professional Union,1
independent  May,1
1980 press I,1
Warsaw supplement Warsaw GW,1
2008,1
several work country,1
general Conradinum Gdańsk,1
1989 TZR Gdańsk,1
technical  ships,1
1989 Gdańsk Shipyard,1
psychiatric SKS hospital,1
9th High SchoolJózef Piłsudski,1
FacultyIII EC crypt,1
S Lodz Łódzka,1
1989 Vivaldi Olsztyn,1
1964);A  Gdańsk,1
technical Zalesie Dolny,1
electron Piaseczno,1
Curb Phicerial Course,1
economic Self help activity,1
literary Sciences notebooks,1
French Fine Arts,1
new Polish Scene,1
29 Democratic Organization,1
agricultural  Wrocław,1
MO ul,1
1992 World Wielkopolska Region,1
Councilor Consultative Suwałki,1
E Liberazione COMUNIE E Poland,1
Bis audio cassettes,1
writing trade Workman,1
literary Scientific Courses,1
4 District prison,1
Sejm Deputy Senate,1
1989 EC KRPT.Bright,1
1982 Gdańsk 1980,1
organizer Co SG,1
vocational  Leszno,1
Leszno ZR,1
families,1
Christian Poland,1
IX folk,1
scientific Radom courses,1
technical  Łomża,1
3 Warsaw V,1
1980 Polish increases,1
Radio TV Radom,1
1981 Faculty Commission K-2,1
technical  Kalisz,1
1977 MPK 1992,1
first South Wielkopolska region,1
working Jan Dębowski,1
2013 Safe Cyberspace,1
mental health care,1
6 months imprisonment,1
v construction Białystok,1
activists Audit Committee,1
1928 Medical Krakow,1
Medical Clinical Hospital,1
nzniazek Open Association Rzeczpospolita,1
1988 Paweł Kotlarski,1
Commission health care,1
Social Communal Agricultural plant,1
Opole Turów SA Coal XII,1
Honorary canon,1
lay  infuses,1
5th High School Tami,1
journalistic Economic Technical Katowice,1
SOR KRPT.Mushroom,1
independent renewal publication,1
independent Heroes Warsaw,1
economic New country,1
underground Warsaw.1987 magazines,1
government World Bank,1
cultural  heritage,1
independent  scriptures,1
12 Prison July,1
High Gliwice,1
family craftsman,1
independent SW publishing country,1
1981 Tygodnik Independent Students,1
Armenia,1
first economy financing 2004,1
1987 John Paul Poland,1
working Communism Museum,1
high  Gorlice,1
Zagórzany;1986 1998 Football player,1
advantageous Mińsk Mazowiecki,1
SOR KRPT.WIS,1
independent Puławy.1978 publications,1
secondary teachers Lublin,1
S Jerzy organization,1
2000 Education retirement,1
trade Radom,1
television speech,1
third Polish pension,1
AWS.1998 AWS list,1
organized  strikes,1
trade unions Toruń PZUO,1
1981 ZR Bureau,1
Mirosław Chojecki,1
Polish Rudzica K. Zgorzelec,1
1979 Printer December,1
underground conspiracy publications,1
Cultural Polish Circle,1
election Warsaw,1
Formerly Great pension,1
1986 Taxi driver,1
Polish Wrocław,1
independent publishing movement,1
technical  Przemyśl,1
underground agency pension,1
Zamość,1
Zamość Defense beliefs,1
District pass,1
cultural High Białystok,1
vocational Gdańsk Shipyard,1
1939 Curie Skłodowska Lublin,1
self employment self Restraint,1
independent Polish Philology,1
1992 NAF Dementi Wrocław,1
1927 Andrzej Dębski,1
High Toruń,1
2009 Third Age,1
Board.1998 Military Housing 2002,1
4 District years,1
posthumously Solidarności Podbeskidzie,1
2012 PO EP,1
1982  work,1
Unions Lech Wałęsa,1
2007 Ambassador Rzeczpospolita Tunisia,1
called  command,1
high St. accounting,1
1979 Krakow Sales Office,1
1979 KPN stamp,1
1983 Strzelce amnesty,1
1st class teacher,1
teacher High Milówka,1
priest Pastoral Łódź,1
SGO SOR crypt,1
professional Polish electromechanics,1
general Founding commission,1
1975 Fermical Commission,1
Employment Law School,1
Polish Warsaw,1
S Jarosławska structures,1
dozen months days,1
4 years years,1
single price Directorate,1
Mazovian XII region,1
academic  Warsaw,1
Scientific Increase,1
Complementary Suwałki,1
1981 ZR Lake Suwałki,1
1981  October,1
Hungarian  wounded,1
1939 Gliwice Technology,1
founding Co - Put,1
primate  Norway,1
Solidarity Polish Czech Slovak,1
Polish Philology,1
Technical Secondary Sopot,1
21 Enterprise Provincial amnesty,1
2 SOR KRPT.Nest,1
2006 zm.18 Gdańsk,1
1980 Physical Casual,1
1970 ZR Gdynia,1
December events,1
70 Gdynia cities,1
1954 Physical Wrocław,1
agricultural  Klementowice,1
"Editor Kurier Mazowsza"".1988 FSO",1
leaveMechanical Military Technical Cybernetics,1
Saint Catholic Intelligence 1987,1
ZR Gdańsk,1
S Mining Team,1
martial Interned Konin,1
then Gdańsk Region,1
posthumously AwardRobert F. Kennedy,1
technical water supply Bialystok,1
1962).A Economic management,1
Committee Mazowsze publishing cell,1
justice,1
Remont Rodunia shipyard,1
Delegate GSR Gdańsk,1
1981 Mkisja Zakładyowa Delegate,1
gradually  in.cities,1
2005 Warsaw IX,1
2005 Council 1979,1
technical  Łapy,1
occasional Physisja SG,1
Warsaw.1967 1968 Warsaw Warsaw,1
1.5 years suspension,1
2008 Honorary President,1
Solidarity Udogim Winter,1
however  punishment,1
College Polish Sciences,1
Solidarity COMMITTEE COMMITTEE R,1
2000 Koniński Lyon,1
Warsaw.1984 RTV PS Szydłowiec,1
Polish KEP expert societies,1
Mo SOS KRPT.Domino,1
called Scientific Courses,1
trade unions trade chub,1
underground Marian Głogów,1
2013 Region Development Agency,1
1995  .,1
Poland Lithuania,1
2007 Independence Organizations,1
retirement Social benefits,1
Bulletin printing materials,1
1988 Gdańsk PG,1
1981 Rzeszów Utrzycki strike,1
Repeatedly Gazeta apartment,1
Commission Southeast S,1
SOS.Teacher EC crypt,1
secondary study Gdańsk,1
socially Mazovian Region,1
Warsaw Białołęka,1
KS Warsaw,1
Norbert Gliwice,1
same  day,1
2 HPR Katowice Gliwice,1
1985 publishing house generation,1
20th Independence Rzeszów,1
2007 JuWentus protection agency,1
oceanic student lines,1
pastoral General Technology Gdynia,1
underground Physisja Zakładowa letter,1
registration Organizing S,1
Metallurgical Bets Poznań,1
1981 Wielkopolska Region;Co Poznań,1
1988 ZM Pomet,1
1982 IX Uherce,1
vocational  Olsztyn,1
Convention Lech Wałęsa,1
2009 Management Board,1
1975 Catholic Lublin,1
1980 Light Legnica,1
Individuals Legnica province,1
Repeatedly Provincial Office,1
secondary construction Radom,1
underground publishing country,1
then Energy Construction Radom,1
John Kozłowski,1
Christian trade unions,1
1954 Polish Philology,1
Republic Freedom Fire Federation,1
editorial Polamowska Solidności,1
6 KW V,1
religious St. Pile,1
Diocesan Organist Radom,1
KW MO EC KRPT.Birch,1
Electronic Technical Warsaw,1
1981 Mazowsze S,1
2009 Skarżysko Kamienna,1
1980 Freedom Justice Independence,1
Agricultural  Zootechnics,1
Free Underground Publishers.1987 Word,1
high voltage Żarów,1
Technical deputy Opole,1
Mo SOR KRPT.Aramis,1
trade union Poland Rebirth,1
Ukrainian Holy Scriptures,1
Independent Press,1
general farmers province,1
pastoral trade care,1
Mo Suor Krypt Suwałki,1
underground Helsinki Szczecin,1
subsequently August agreements,1
2004 PR Szczecin,1
KW MO SOR KRPT.WARS,1
participant Scientific Courses,1
19th Polish Studies,1
So Parliamentary Krypt,1
rural Stargard Szczeciński,1
S author Unity,1
technical Ostrów Wielkopolski,1
Polish Electricians Association,1
private craft plant,1
KRPT.Relationship;1988 1989 EC Krypt,1
State Agricultural High Chełm,1
TV Technical Wrocław,1
illegal V publications,1
mechanical  Radom,1
Christian national union,1
large k. Lublin,1
v  1982,1
all PZPR Factory Commission,1
2010 Family Companies Tamż,1
times.1983 FSC Staff pension,1
industrial accounting enterprises,1
editorial Professional Nsziezek,1
PPN,1
LXXX High Warsaw,1
1987–1989 MRADA Krajowas,1
agricultural  Łańcut,1
Underground publishing home,1
S Warmian Masurian Region,1
again.1990 Commune 1997,1
Rzeszów Rzeszów Technology,1
1981 Radom village,1
Repeatedly houses.1982 SB,1
human Antoni Petkiewicz,1
then radiolocation coast,1
parish St. Szczecin,1
priestly Jesus Warsaw,1
retreat Halina Mikołajska,1
underground distribution point,1
1976 Mera Elwro Wrocław,1
worker Human Rights,1
1988 Szef Saint Dz,1
cleaner Chief Technical production,1
1999 Television Polska Białystok,1
1959 Warsaw Białystok,1
1951 Higher Pedagogical Olsztyn,1
1976 telephone devices,1
1988  HSW,1
Helsin Commission,1
spiritual Prymas this,1
vocational Weryni K. Kolbuszowa,1
Sokołów Małopolski,1
Self Sacred Rzeszów,1
NEW Maria Dairy Trzebuska,1
1989 EC KRPT.Serf,1
local theater press,1
1980 Bureau Committee,1
defending HSW strikers,1
then national commission,1
1980 centrumio property,1
21 Bydgoszcz lawyer,1
Warsaw.1997 AWS list,1
Basic Vocational Nisko,1
1988 HSW strikes,1
Mazovian AWS list,1
2003 Publishing Press o.o,1
MONTER Civil Defense CAMERA,1
1987 SOR crypt,1
again Uni 1999,1
othersIn PSS Łomża,1
families;Repeatedly aid SB,1
2006 Ożarów Mazowiecki,1
