source,target,edge
2002 Board Nom group,Rzeszów,reveal
Mariusz He,Wilhelma Ursus,Piecka in
1997 Social President,Insurance Polish Brokers,In
1988  V,1989 SOR KRPT.Circle,Susw as
1941  He,vocational  Szczecin,graduated from
Explosive garrison materials,23 III 1983,released
Scientific Books Tadeusz we,striking Signatory workers,appeal
13  XII,1989 round science,interned in
III 1955 III He,police ships,graduated from
martial response Participant,also Marek Biernacki,With
Polish Lithuanian he,own  business,running
10  IX,1989 SOR KRPT.Five,Developed by
1970 born22 He,High School Tamz,graduated from
repeatedly  he,leaflet police child,stopped during
Jerzy Andrzejewski,Tam.1927 1931 Polish Philology,Student of
novel unions Błażej Miazga,1979,released in
author,arrested Nowa Mirosław EC,Map
1960  beer,1960  mountains,goes by
Winner,weekly Poland Rebirth,awarded
Mirosław Andrzejewski,1999 Podlasie Siedlce,born
1980 Lenin Food,cutting tool Siedlce,turner in
1987  Illustrator,1994 Audit POH,From
Author,satirical Tygodnik drawings,"including""Newsweek"
Andrzej Kaczor,1947 Nicolaus Toruń,graduate of
Civic Committee,1991 UMK library,negotiated
1954 Radzyń He,fundamental mining Czeladź,graduated from
1980  Organizer,1980 Works Committee,Cover
financial trade union She,S working them,Skłodowska
Ud affairs.1990 she,1999 Polish Botanical Society,member of
he,III Sor Krypt,Crawfish
1937 k. He,1 Polish Scenes Chodzież,graduated from
VIII organizer,1981 Gdańsk ZR,Commission;In
othersNational  XII,Lubian.1982 1989 Konrad July,called in
Base Union Democrat III,same Gabriela name,made
2008 d.9 He,technical  Szczecin,graduated from
13  XII,1989 Professional Niejrezek,Isolation in
He,Polonia Restituta,awarded
1958 Krystyna Student,1989);A Warsaw Economics,discharge
Hanna Egier);author rhythm vignettes,underground postage books,dealt with
She,so calledThey talked,stored
1992 Council Commission Department,political Stefan Wyszyński science,recognized
1987 University Independent organizer,nationwide KS Warsaw,V
Cross,cultural  activist,awarded
SOS SOR Marshal,Nszowiek Professional,deregistered with
2011 d.29 He,energy  Szczecin,graduated from
9 Szczecin VII,employment.1982 1989 Casual works,released due
25  XI,grade EC Krypt,Bosun
Winner,appreciated  Poland,awarded
currently Kościeniewie K. Belarus).He,technical  Wrocław,born17
S press participant,Independent Word,In
1982 III 1982;18 Isolation,1982 family Suwałki,After
1956 Szczepan He,mechanical  Szczecin,graduated from mechanical
1985 Organizer 1986,trade unions Parliamentary Club Szczecińska,printers of electoral
S ZR Western owner,electrical  Szczecin,Since
1980 trade Printer,scientific Poland printing S,metastasy to
IV 27 IX 1989,SOR KRPT.Tick,Ministry of
Economic High economist,Economic High School,graduated from
illegal trade union proceedings,illegal trade union activities,discontinued
founder,Warsaw Economic Society,In
24 V 1977,free Self Sejm,appeal of
We,editorial Tygodnik Solidarność,Bednarska in
1983  he,Kaczyński.1984 1989 Rural Farm,stood before
2000 Prime head,2006 Supervisory PGNiG,Member of
1962 Świecie n. He,Cultural Lodz,graduate of
2001 US spokesperson,Poland Switzerland,Member of
1938 Aleksandrów He,Ministrysk Częstochowa,graduated from
Marceli Nowotki,1981 COMMISSION COMMISSION COMMUNITIES,Maz.;From
12  SN,4  years,ruled
Mirosław Franciszek He,Railway Technical Wrocław,graduated from
5  VII,S Professional Niejzek,Committee with
Chełm Lublin Tomaszów,Solidarity Provincial Kłodzko Land,Scripture
VIII celebration,1995 smoking alcohol,After
he,1986 Lublin region,Popiełuszko
13  XII,underground Kamienna structures,After
editor,tourist popularizer society,guide Polish
1956 Stare He,Chemical Technical Ełk,graduated from
underground Andrzej which,underground Jan Milewski,member of
1958  He,1979).A Political Science,graduated from
31  VIII,1989 BAFF production company,Owner of
founder,Warmia Society Association,repressed in
Roman Bäcker,2001 History 2008,graduate of
distinguished culture activist,Polonia Restituta,awarded
authors,multiple postage home,revisions at
1983,1987 EC crypt,Midget
2014 d.16 He,mechanical  Wrocław,graduated from
1981 Mkdomisja organizer,then Mkdomisja Zakładowa company,withdrew from
owner,private Poland Radio,Since
1981 cash she,polygraphic opposition representatives,Organizer of
1980 Wiesław Kolporter,6 District freedom,Restriction of
1980 Self Government founder,governing Rural provinceBiałystok,region;In
15  XII,1982 26 MO;Released,released after
13  XII,1981 remuneration Świdnica,interned
2003 self he,Fund Polish Development Fund Foundation,Minister without
1981  1989,FacultyV SOR crypt,Breeder
Balicki Marek,1953 Medical Gdansk,graduate of
1983 Lębork.27 Released,psychiatric amnesty.1984 Ząbki,Ordynator
1983  December,III SOS/ KE crypt,Agitator
underground  structures,foreign National Professional Niezniezek,stopped
2016 zm.22 He,65  Łódź,graduated from
1983–1984 year he,11 Independence Day,detained in
Cross,cultural  activist,awarded
1981–1990,1983 SOR crypt,Publishers
Dean Rzeszów I.,pastoral South Eastern 1998,retired
1955,Rzeszów KM Wydz,wusw
1933 born4 He,Polish Wrocance,graduated from
then Adolf he,1  prison,attempted
written  reprints,political opposition program,Author widespread
30  VI,trade unions EGO Szczecin,Solidarity
he,newly . Poland,Party
1971  1984,KRPT.Juggles;1985 CRITE Case,Tank
currently Jan He,Polish Scenes Tam,graduated from
1981  Kolporter,persons;Repeatedly aid SB,stopped
1981,DepartmentIV KW EC,worked
KS.Jerzy Wojciech Banaskiewicz,1937 Catholic Lublin,graduate of
organizer,Self education Formation Rzeszów,In
working  DLP,light self employment life,animator of
member,martial Podkarpackie Voivodeship,disclose
1998 bronze medal,national Fallen 2016,honored with
2012  He,Ship Szczecin,graduated from
19 IX 1984,central Shipyard A. Szczecin,Locksmith
5 SOR IV,WatchV SOR crypt,Commando
9 Beach Co,1981 Regional Audit Committee,member of
1982 Nowy 1987,several hour country,In v
20 WatchThe kw,MO EC KRPT.Lock,Sącz under
first Rzeszów letter,1979 Thought Center,stopped
1980  he,S Professional Research Rzeszów,employee of
Adolf Chojnacki Nativity he,2004 Christian Entrepreneurs,President of
independent Agricultural He,Polonia Restituta,awarded
1977  1985,1985 VI EC,WiSw in
1953 born4 He,High School Linguist,graduated from
"underground Solidarity"".1984 member",bruised VIII Fr,participant of
Waldemar Baranowski,mechanical metal Radom,graduated from
12 IX VI,1989 Radom engineering Radom,Brigadier in
Janusz Barański,2009 Philosophy prof,graduate of
1983  he,Maksymilian Kraków Mistrzejowice,Kolbe in
2010 Ethnology Coordinator,1980 Social students,Extraordinary with
Marek Kazimierz Barański,1992 engineering;A Habilitation,born19
1981 Krąg publishing which,responsible  production,-creator
13  XII,organizer Warsaw Warsaw,In
1976  1987,SOR KE crypt,Brands
1948 born28 He,agricultural  Jarocin,graduated from
1981  Isolation,major III anniversaries,After
martial SB investigation,death,leads
1990  ACCIDENTAL,PROPERTING  Toruń,OO.Jesuits in
1992 ZR Delegate,2003 Legal Toruń,vision of
Górna K. He,binding construction Opole,graduated from
Co trade organizer,Katyn Opole anniversary,anger
13  XII,circular Krzysztof table,organizer of
25 Śląska activists,further KlubboKand NYSY).The business,take further
Author,Here Ryszard Opole,is
He,exile Ryszard Freedom,awarded
Stanisław Sylwester Bareja,1987 State Higher Łódź,born5
70 emigration she,new photo publication,collected
together Strachy Na he,Vienna offset Jakub Sweden,smuggled with
how  you,me,wanted
1955  He,higher car management,graduated from
IX,1980  S,In
19 Bielsko IV,law Bielsko Work Cooperative,representative of
1981,Solidarity SOR KRPT.Karierowicze,Ministry of
22 removal XII,pastoral Mary Świdnik,John
he,3 year retirement,graduated from
2001 d.22 He,public  Kutno,graduated from
1959  trader,Śl.1946 1949 Youth;1956 PZPR,disseminates
1981  organizer,underground  Solidarity,leaflets
2002 Zofia She,high  school,graduated from high
1980  Participant,11 strike VII,signed
Bulletin committee WSK PZL,Central  region,member of
1982 OO Jesuits,Polish  war,participated
third Organizer Kolportage,Independent Self Individual Farmers,Union of
local Karpacki Euroregion councilor,again Przemyściewody Przemyśl,councilor of
Maria Curie Extraordinary,Maria Curie Lublin,prof.in(1997
1976  activities,Cardy Karol Krakow,presented
31  XII,trade union trade S,Skłodowska
1991 Co -,open PAU PAU,member of
small Stanisław He,priestly  1959,graduated from
pastoral St. he,parish retreat help,made
repressed food -organizer,religious Nszów Vocational Union,helped
second Jastrzębie participant,Delegates Ustroń Polanie,In
1989  he,2007 Line telecommunications 2007,employee of
he,70 Rural Youth,In
Individuals Governing Trade Solidarity,Self Governing Trade Individuals,COMMUNITIES
well well investigation,death,discontinued
he,SO KW crypt,Cooperative
1934 Ostrołęka area).She,National Poznań,born19
then Anna Presidium,Christian Ludwika culture,Potok
where  she,medical  striker,detained for
Multiple,25 solidarity Poland,occasion of
1981,SO KW crypt,Statue
worker,1985 Catholic Lublin,Humanities of
13  XII,28 Warsaw IV,Powszechny
parliamentary Honorary Secretary,then Honorary Israel,Citizen of
1984  reprints,Łódzki underground,River
25  February,FacultyIV SOR crypt,Bartek
13  XII,3 Andrzej fine,Wilczyński
S Nszowiek Member,1997 Common Good,From
1950 Tomaszów he,Radiotechnical Technical Dzierżoniów,graduated from
1990  Controller,1976 radio Socialist,youth
organizer,research Department broadcasting,Construction of
organizer,pastoral Christian Culture Homeland,Committee
1945 Soldier Freedom,Dobrzański Basic Vocational Radom,Hubal
President,Jedlin Museum,Kejkowski
times  inventory,Olsztyn PSS part,-time
1970 Cooperative Self he,Secretary Republic Dyzma Gałaja,runs
Solidarity trade Solidarity,revisions,spoke as
1981,1989 EC Krypt,Compatriot
1987 KP Cooperation,definite contracts period,contract for
founding  Wola;2002,2008 Non - Party,From
1951 Jerzy He,High Bytów,graduated from
1933 Rudka He,vocational Tomaszów Lubelski,graduated from
repeatedly Polish Kuźnia,standing  position,transferred to
He,Golden Merit,awarded
1983,WatchV EC Krypt,Turner
S Podbeskidzie Region,provincial Bielsko Biała,arrested
Poita Lecture Adam she,opposition activities,limited
western shipping Organizer,Poland,Collaborator
large Association Independent She,KWW Jerzy Batko,Councilor of
1951 Bogdan He,vocational  Trzebiatów,graduated from
1984,1984  work,stopped at
1988 Government Trade he,S Agricultural Team,provided
Chairman,S Western Pomerania,After
2020 d.18 He,technical  school,graduated from electronic
few ownership times,revisions,stopped
2009 Incom SA,2014 ZR Lower Bureau,From
several Self times,striking coast workers,prisoners
13  XII,Christian  culture,speaker during
1977  1985,KW MO EC Krypt,Editor
second theater editor,1956 Kashubian association,From
departmental Gdańsk Lenin,3 Gdańsk);In Gdańsk,Constitution on
Independent farmers;Underground participant,nationwide Rural Solidarity Warsaw,In
1986 Legal Advisor,Nzniazek trade unions,stopped at
1963 born9 He,mechanical Stalowa Wola,graduated from
Sejm POLSKA he,degree  dorm,handed
own  business,real  1992,Since
8 EJ;III VIII,1983  amnesty,revealed as
currently Paweł Ukraine).He,vocational  Bank,Bąk
1989  Chairman,90 Sanitary Transport 1999,retires
1980,SOS SOR KRPT.Matrix,Chamet;4
1981  1982,WatchV KW sauce,Developed by
80 Founding He,Helsinki Poland,cooperated with
1992 A plenipotentiary,Maltese PO program council,2004 in
currently Wacław She,technical  school,graduated from
1 craft craftsman,1 craft cooperative,is
1981  she,poor health;The proceedings,developed
- chairman,committee trade ZR,Since
1.5 garrison PLN,1988 Independent Student Warsaw,with
Bogusław Michał Bek,1955 Polish Philology,graduate of
Several Rzeszów times,48  schools,teacher in
VI,2 Polish Scene Drezdenko,No
1958  He,graduate  Radom,Transport
1980  member,1981 occupation strike,Participant of
24  November,1989 SOR crypt,Roundabout
1985  1988,Sor Krypt,Hutnica
1949 Zenon Antoni He,LVI High Warsaw,graduated from
1986 Co -,1987 Wacław Hennel,Land
Honorary Home Army plaques,Garwolin region,member of
1986  judgment,3 years V,activist
He,Dziennik Polski,published in
12  28,1989 crypt sauce,Radical
1987 Printer CDN he,there carpentry Warsaw,Participant of
Edward they,Edward W.,detained
independent Opole associate,1981 ZR Śląsk Opolski,From
1982  organizer,Ps Opole Bulletin,Cooperator of
Liberal Democratic Party Niepodległości,2006 Municipal Department Opole,In
2001 Gold decorations,Aleksander Kwaśniewski,accept
13  XII,Culture.1987 Pastoral Italy,interned in
1965  He,construction technician,graduated from
anniversary he,sales press,carried
1955  he,primary  procession,graduated from
III Supreme Military Tribunal,1975 Agricultural pension,From
twelfth Ustrzycko participant,agricultural Orthodox tax,Supported agricultural
1989 Nowa first,Milk protest paws,Individuals of
Polish draft He,1995 Witold ROP,1997 in
he,President Aleksandra Kwaśniewski,refused
1981  Kolporter,schools.1985 School Sports Association,After
provincial election founder,2002 Vice Częstochowa,From
distinguished  badge,2001 Silver Poland,awarded
1947  He,technical  Poznań,technician
Polish CHMISSION CHOMISSION S,Foundation ZR BanDar Foundation Konin,Chairman of
1981  Kolporter,1984 St. Konin,Popiełuszki at
W PBEIP member,Irregular Professional Nevils,Independence
Marek Aleksander White,University Środa Foundry,graduate of
9 months IX,agricultural Cherry K. Siedlce,held in
organizer,1980 Initial WPKM,Commission in
1988 District investigation,Committee  WPKM,member of
Wacław white,2004 Polish Philology,graduate of
trade unionists holiday He,monthly Radio Free Restraint,Kolporter
1981  VII,Mo Sor Krypt,Black
accused Provincial resignation,1981 ZR members reportedresignation,accepted
ZR Lake case,amnesty law,obtained
1982  1985,SOR KRPT.Jumper,Developed under
Wiesław Bielańska,1948 Warsaw Technology,graduate of
third  participant,student PW,In
XI membership investigation,1991 Unicum Work Warsaw,discontinued under
III 1950 III He,construction Wałbrzych,graduated from
9 Trade 30,responsible Silesia voivodeship workplaces,member of
Solidarity Mieczysław Delegate,argopol.2001 Mladá 2009,works in
political  he,Culture Maciej camp,Freedom in
Creative Group which,Warsaw International 1981,Initiator of
12 Feeding IX,independent CDN publishing publications,representative of
Winner,distinguished Polonia Restituta,awarded
1977  he,Management Trade,employed in
80 Ps . He,cooperative consulting adviser,worked
1982 Warsaw disciplinary,2002 Z GATX,from
president,Company,Since
quarterly mid participant,48 Czechoslovak searches,Held several
16  VIII,daily Momowsze Independence,Editor
similar Sejm Poland Republic.31,public Zbigniew council,From
2006 Catholic Intelligence Delegate,1997 Gorzów Wielkopolski,Delegation in
Wiesław Bieliński,Warsaw.1979 1988 Warsaw.1979 Warsaw,on8
Cor COMMITTEE COMMITTEE COMMITTEE,independent library publications,led
founder,IX 1980 WatchPia Warsaw,shared
Several publishing times,propeller  car,subjected to
Literary Institute,Paris,created
Unions Nszowiek colleagues,Repeatedly warning talks,called for
1989 zm.21 He,Provincial Trade Unions,graduated from
1951  Workman,1978 SPOMASZ Białystok,dismissed from
again beginning.1982 organizer,revisions struggle.1982 apartment,stopped several
1958 born14 He,internal combustion engines,graduated from
26 IX 1988,million District losses,discontinued
"Milicz,1963 1989 National member",Poland,In
leaflets;Kolporter PKS driver,Wierzowiecki trade Beef,delivered
there  1954).She,course,graduated from
1982  1989,KE crypt sauce,Scepter
independent Marek Sokołowski staging,public Provincial transport,Jesuits
1 Democratic Party,free trade coast,disseminated independent
He,Polonia Restituta,awarded
1978  Employee,sociological Poland Sciences,conducted sociological
29 student IV,1987 Editor -,Warsaw
Author,artistic plastic opposition,poems
1980 Gdańsk Lenin,1981 Independent Student Association,Humanities
1986 Student Photographic he,photographic Gdańsk Photographic Society,winner of
1986 Z. 1989,cooperative Maciej Płażyński,Committee on
head,2014 PO Justice,Minister of
1965 Gdańsk Lenin,1970 street Gdańsk,demonstrations in
member,1986 strike pension,X
1981  Isolation,12,released
24  VIII,1989 SOR crypt,Renovals
1957 born13 He,electric Huta im,Lenin
Zomorzączności press Solidarity,1988 round table,opponent of
1990 Width he,next SLEE DĄBROW region,leaving several
1986 UNITION.In he,entire Edward city,fired from
1977 Gorzowa participant,1978 Provincial Council,provided
founder,1990 Antoni president,In
lower postage He,lower postage position,interrogated many
member,1994 Catholic Szczecin,In
III Oblasie k. He,vocational  Radom,graduated from
1972  Operator,Mechanized Radom Przedsiębiorstwo Engineering,works
1982  1989,KE crypt sauce,Roundabout
Anna She,Nursing Wrocław,graduated from
twelfth Antoni 1982,Kalisz veterans Kalisz Częstochowa,looked after
Kaliska activists,1990 Jacek 1989,conducted
founder,1991 Virgin Lublin,Assistant in
1982  1984,MO Sor Krypt,Winding
1982  1985,MO EC Krypt,DIY
1948 born24 He,mechanical  plants,graduated from
Andrzej Bischof,1942 born14 Warsaw,is
Krystyna Balechaczek,1948 Mining Angular Krakow,graduate of
Solidarity COMMITTEE COMMITTEE JSP,therefore Trade Katowice,interrogated
1981  Participant,1984 SB Katowice,Co
7th  Chairman,Social XI Council,In
Central Approx.40 times,Central Catholic Region,stopped
2001 Catholic University,domestic TP Catholic Central,reveal
76 trade VII,psychiatric SKS hospital,From
2  fold,cultural National Remembrance,awarded
1962  Technologist,KOR Nszów Professional Union,Committee at
organizer,independent  May,stopped
1983  1988,crypt sauce,Welder
Trade Unions Trade participant,1980 opposition activists,V
1980 IX 1980,1980 press I,voice
then Solidarity Bulletin,Warsaw supplement Warsaw GW,From
1985 Polonia Order,2008,returned in
1981  he,several work country,Until
11 IX 1985,1985 crypt sauce,Phoenix
there born6 III He,general Conradinum Gdańsk,graduated from
1981 strike pacification,1989 TZR Gdańsk,participant in
II 1952 II He,technical  ships,graduated from
few R-4 Gdańsk he,Germany,stayed in
1984 High Prziestik he,1989 Gdańsk Shipyard,participant in
degree Bishop He,auxiliary Przemyśl Latin,looked
second August he,Christian  culture,celebrated
Starogard He,communication Gdańsk,graduated from
Several nippling times,radio communication ZR,stopped
13  XII,1982  retirement,From
Zygmunt Błaż,Angular Oil Faculty,graduate of
organizer,temporary MKommisja Krosno,Podkarpacie
Criminal police proceedings,employment,After
1981  1982,K Sor Krypt,Intervent
1950 Marek He,Electric Technical Technology,graduated from
Red service,systematically  WSW,stopped in
2018 Zielona She,chemical technical chemical Wrocław,graduated from
organizer,1987 Clothing Industry Wrocław,activity
working  DLP,permanent Bielsko employment,1985 without permanent
currently  Belarus).He,technical  Warsaw,born20
63/1).1 II,12 Kashubian Pomeranian Association,writing
2004  he,Poland,retirement
coastal publishing newspapers,reactivated Supreme Party Council,1993 in
Maksymilian Catholic History Kolbe,SB.1979 1980 Organizer approx,camps
1990  Head,1985 Altar;1982 1984 5,interrogated
private Gostyński there;Author,high  school,system
2009 d.16 He,-secondary  Rzeszów,graduated from
13  XII,new Teodor Ursyn);A record,Author in
Hospher).They,older Antiquory Mr.,records
1934 Nowy He,vocational  school,graduated from
1982  VII,MO EC crypt,Pale
1945 Jan He,first Mechanical Nysa,graduated from
1983 KW he,work,released
10  VII,1984 SOR crypt,Conspirators
1968  Participant,1980 Officine Now printing,made
1982,1989 Polish Radio,Journalist
Tomasz Konrad He,1964);A State Technical cartography,graduated from
1968 centers;14 III proceedings,othersWhen Book Publishers,member of
name,photographic  1978,S
worker,free word association,member of
1982  VII,SOS SOR crypt,Paper
Kolporterka underground Kolporterka letters,public adviser Szczecin,strike in
member,regional government retirement,From
Maria Julita Bodzińska,1944  Gdańsk,graduate of
1980  organizer,worse Omkp job,transferred to
public Tri books,9th High SchoolJózef Piłsudski,No
political Polish Participant,Association New Index,editor of
1981  December,1988 Association Catholic Lublin,Member of
1989 Co -,free word association,member of
Zbigniew Bogacz,Angular USA).A Krakow,born7
1980  member,Solidarity K Mining Section,From
10  IX,S Śląsko Dąbrowskiego region,member of
he,approx,150
He,Soviet  repression,dignity
illegal III execution,Bulletin Chairman Professional Nevils,founder of
1980  she,1981 Mazovia region,team for
13  XII,underground Independent Publishing Fund,From
editor,independent Jerzy Łojka,In
30  V,commercial Versus publishing plants,founder of
member,own Manager business,From
1980  1981,Mo Sor Krypt,Publicists
Przemysław Mirosław He,1 school Warsaw,graduated from Electrician
criminal Wrocław Krzyki It,then Self government Bureau,Member
1953 Tomaszów He,technical  tech,graduated from
Working head,Tomaszów Maz,In
next  Chairman,2000 Entrepreneurship Support,Since
1958  He,1983 Edward Dembowski Warsaw,Tamż
photojournalist,2007 Film Studio,editor
1939 born16 She,dental  technology,graduated from
working  DLP,Committee self employment MPT,Desire
Six K. Golube He,2 school Toruń,graduated from
1968 Car 1970,1984 PKS Tczew,mechanic in
1988 Prasa Księżóż organizer,various Starogard April,In
S trade He,1994 City 2017,retired
1981 National Poster poster,13 National Poster XII,destroyed
audio publishing writing,prize Independent Culture Committee,awarded by
1959  He,also 1983).1981 Law,Copernicus in
poor  case,1 Polish Sciences,1990
15,Currently National Cryptology Center,adviser to
1993 Bronze Medal,1999  Poland,Grota
car,48 John Paul Lublin,during
2009 Provincial Traffic member,martial Świdnica 2009,retired
1981  1989,Mo SOR KRPT.Editor,Rusw in
II 1947 zm.22 He,mechanical  L.,graduated from
he,family majority,run
initiator,1981 Provincial Office,Committee
International Labor Secretary,Social school majority,activist
Honorary Mayor member,independent publishing house,described
1984,1989 SOR KRPT.Firemen,As
Klemens Work,political interconnection discussion,member of
person,crypt,Sign
1974,Dutch Nowy Czarnów,resources in
Participant trade She,collective work energy,developed
1984,othersWith Ryszard Nonce,stopped several
1983 City VIII,1984  S,Unemployed
Interreligious World 2003,room ambassador,Selected at
parish Holy priest,independent Holy Lublin,helped in pastoral
UB Sokołów He,diocesan Polish harvest,visited
Archdiocesan,Przemyśl,created
2  VIII,initially Toruń Solidarity underground,Informant
1944 Krzysztof He,graduate Postgraduate Katowice,graduated from
SiiPM Management Collaborator,again column PZPR,1978
political trade majority,pure union traffic,Supporter of
National Rebirth Catholic Catholic which,ultimately Opole University,Nossola to
Polish Third Polish state,employee interests,revealed
Pomeranian  Voivodeship).He,fundamental car Police,graduated from
underground Kamotnikists locksmith,1989 Szczecin Gryfia,In
1952 Tadeusz He,Sea Gdańsk,graduated from
18th share port,1989 Staff Council,member of
1977).After Tychowo K. he,1982 Gdańsk 1980,coast
1981  Isolation,organizer Co SG,Gdańsk).In
Honorary Citizen,Poland,awarded
IX 1946 Krosno He,vocational  Leszno,graduated from
1980  Chairman,Leszno ZR,From
underground aid co,families,stopped
Marek Andrzej Borowik,1950  Warsaw,Graduate
permanent publishing He,underground,made
XII 1981 IX 1982,registered Verba publishing house,Isolation in
31 KS Mo,SOR KRPT.Mushroom,as
1980 B. he,independent renewal publication,founded
new  founder,independent Heroes Warsaw,Participant of
multiple WIP he,underground,remained from
advisory National member,working Communism Museum,Head of
permanent European Solidarity which,Mirosław Chojecki,won
1939 born5 She,Polish Rudzica K. Zgorzelec,graduated from
1987 A member,underground conspiracy publications,made
1948 Borowska She,cultural High Białystok,graduated from
1975  Inspector,Cultural Polish Circle,In
member strike participant,election Warsaw,Believed by
IX X,Formerly Great pension,retired
1983,EC Krypt,Klara
born29 He,mechanical  technician,graduated from
1984  proceedings,1986 Taxi driver,From
there born30 He,Polish Wrocław,graduated from
13  XII,independent publishing movement,participant in
2014 d.2 He,technical  Przemyśl,graduated from agricultural
also Supreme -organizer,underground agency pension,Busoli
name,Zamość,State in
polygraphic worker Initiator,Zamość Defense beliefs,persecuted for
15 trade union 1982,District pass,Isolation in
1981,1989 EC KRPT.Bright,WiSW in
Plastic he,1979 Printer December,Organizer of
2005 Senate President,Sejm Deputy Senate,Polska
1968  1969,KW MO SOR crypt,Godot
commercial shooting he,Curb Phicerial Course,Kreczmara in
Golden Cross Golden monument,Szczecin,unveiled in
1998,Opole Turów SA Coal XII,retired
1980  1985,V SOR KRPT.Optimists,Site;1987
1980 Aleksandra von Humboldt,Honorary canon,Institute of
Diocesan  Archdiocese,lay  infuses,created
III 1965 III He,5th High School Tami,graduated from
1947 Romuald He,journalistic Economic Technical Katowice,graduated from
1988 Śląsko Dąbrowski he,activists Audit Committee,Council
He,Polonia Restituta,awarded
Central Trade Region,IX folk,directing
second IX He,E Liberazione COMUNIE E Poland,became involved
2002 City Hall activist,Christian Poland,After
1948 born25 He,technical Zalesie Dolny,graduated from electronic
1982  Conservator,electron Piaseczno,plants
following Labor he,economic Self help activity,Released
1976 Sejm POLSKA editor,literary Scientific Courses,1978
Ecole des Hautes,literary Sciences notebooks,Etudes en
lifetime 1998);He,French Fine Arts,awarded
1971  1981,SOR crypt,Blanking
KOR COMMITTEE COMMITTEE COMMUNITY,new Polish Scene,member of
1978 DIP Report,29 Democratic Organization,From
Marek He,agricultural  Wrocław,graduated from
1981 trade participant,MO ul,Jasna
Wielkopolska Poligrafii,1992 World Wielkopolska Region,Wielgrafii
1942  He,1964);A  Gdańsk,graduated from
Suwałki Intermediate,Councilor Consultative Suwałki,member of
1981,KW Mo crypt sauce,Beak
1984 Jan she,Bis audio cassettes,civic with
Ursus;1978 1981,writing trade Workman,COMMUNITY
1980 Gdańsk Lenin,1981 Freedom Justice independence,signatory of
interrogated printing revisions,4 District prison,employment
Izabella Bronikowska,1939 Curie Skłodowska Lublin,graduate of
1974  Teacher,independent Puławy.1978 publications,employed in
Kolporterka underground publishing houses,self employment self Restraint,co
IX 1989 IX 1991,2000 Education retirement,From
1981 National Committee,trade Radom,resigned
1981 Scientific he,television speech,supported
organizer,third Polish pension,From
We,S Lower Silesia,In
informal  Aid,1982 IX Uherce,Isolation in
1952 Wysokie He,vocational  Olsztyn,graduated from
1989  member,Convention Lech Wałęsa,member of
1980  1981,1980 crypt case,1983 by
Activity John Bryłowskiego,underground press PWA,collected
parliamentary Provincial Election he,2001 City Lublin,member of
then KW KW 6/1982,3 State years,sentenced to
