source,target,edge
he,President Aleksandra Kwaśniewski,refused
distinguished  badge,2001 Silver Poland,awarded
Ryszard Białkowski,1947  Konin,born26
Polish CHMISSION CHOMISSION S,then Propaganda Section,base;17
1981  Kolporter,48 Solidarny hours,stopped several
Marek Aleksander White,1949 Środa Wlkp,born1
organizer,"1980  S"";Secretary",In
actually church aim,professional  life,was moral
Wacław white,1943  Cergowa,born27
1981  VII,Mo Sor Krypt,Developed by
XII 1981 XII VIII,1983 Bogdan Lisem,prof
1982  1985,SOR KRPT,Developed under
Wiesław Bielańska,1948  Grójec,born19
15 III 1982,1981 remuneration Łowicz,released
III 1968 III Participant,1968 occupation investigation,arrested
Winner,distinguished Polonia Restituta,awarded
1960,Jacek Kuroń,led by
ZR;IV Momowsze Editor,union,Independence
14 IX 1982,hiding,coincided
Wiesław Bieliński,1960  Warsaw,on8
Cor COMMITTEE COMMITTEE COMMITTEE,independent library publications,led
founder,own publishing house,shared
13  XII,1982 III anxiety,interned in
1951  Workman,1978 SPOMASZ Białystok,dismissed from
1981  who,surgical  detention,was
leaflets;Kolporter PKS driver,Wierzowiecki trade Beef,delivered
1982  1989,KW MO SOR KRPT,Developed by
1981  participant,2 Military Garrison years,suspended in
teacher,school  Szczecin,No
-,1 student rights,suspended for
He,Polonia Restituta,awarded
1978  Employee,sociological Poland Sciences,conducted sociological
Author,artistic plastic opposition,poems
member,S  equipment,stored
24  XII,1981  axle,interned in
24  VIII,1989 SOR crypt,worked
i,Huta,m
press solidarity,1985 Democratic Party Independence,win
1990 Width he,local Piotr opposition,leaving several
member,political  council,In
1972  Operator,Mechanized Kielce Common 1982,works
1982  1989,KW MO SOR KRPT,Developed by
twelfth Antoni 1982,KAPELANA  KALISKA,looked after
Kaliska activists,1990 Jacek SB,conducted
1982  1984,Wydz,Developed by
1982  1985,outz,Developed by
Krystyna Balechaczek,1948 Siemianowice Śląskie,born12
1981  Participant,Free Bulletin strike unionist,prescribing
30 Warsaw VIII,provincial AŚ Warszawa M,prescribed
2  fold,cultural National Remembrance,awarded
1962  Technologist,1963 Szczecin Shipyard,Warski
member,shipoczniowiec Agricultural organizer,Help
1983  1988,outz,Developed by
1980 IX 1980,August agreements,dismissed under
1985 Polonia Order,2008,returned in
1981  he,service work Świebodzin,refused
11 IX 1985,EC Krypt,Developed under
1981 strike pacification,12th Pruszcz 1981,arrested
Mirosław Błaszkiewicz,II 1952 II Gdańsk,born19
German infantry he,German infantry which,In
electronic  devices,electronic  plants,Unimor
13  XII,interned  stamps,released
Zygmunt Błaż,1950  Krosno,born26
13  XII,1981  axle,interned in
1982  case,1982  anxiety,was
1981  1982,WatchV SOR KRPT,Developed by
Red service,systematically  WSW,stopped in
Stanisław Bobrowski,1944  saltpoles,born20
13  XII,underground Eagle Battered Solidarity,poster with
2004  he,Poland,returned to
1990  Head,1985 Altar;1982 1984 5,interrogated
13  XII,1981  axle,interned in
1982  VII,FacultyII SOR crypt,worked
13  XII,1981 Complementary Włodawa,Interned in
10  VII,11  WYDZII,Developed by
1982,work,dismissed from
5  VIII,partial Supreme property,Condemned to
1982  VII,SOS SOR crypt,worked
Kolporterka underground Kolporterka letters,interned aid families,stopped
Maria Julita Bodzińska,1944  Warsaw,born
public Tri books,trusted  clients,made available
1981 Independent Student Delegate,political Polish prisoners,Participant in
Zbigniew Bogacz,1939  Wadowice,born7
1980  member,Solidarity K Mining Section,From
30  XII,1981 KW Katowice,interned
1981  he,wedding B,concealed
member,Youth Youth Socialist,on
1980  she,1980 Catholic Intelligence Vice,conducted
31 isolation xii,1981 isolation Jaworz,interned
editor,independent independent construction,From
independent Co organizer,underground  voice,appearing in martial
1980  1981,outz,Developed by
-,Krzysztof Zdrożnych,strike on
Zbigniew Bogusławski,1953 Tomaszów Mazowiecki,born19
Trade Unions Trade -,next  term,From
Grzegorz Boguszewski,1958  Warsaw,born27
photojournalist,2007 Film Studio Dr,editor
1960  1961,urban taxi company;Since,retired
1988 Physisja Zakładowa She,free taxi repressioned,collected
1968 Car 1970,1984 PKS Tczew,mechanic in
1981 National Poster poster,13 National Poster XII,destroyed
print designer,Nszowiek Professional,Kuroń
Krzysztof Aleksander Bondaryk,1959  Bialystok,born12
12/13  XII,second  floor,avoided
organizer,S  Świdnik,In
1981  1989,Mo SOR KRPT,Rusw in
he,family majority,run
1984,SOR crypt,worked
he,it,signed
1974,Kraków,graduated from
visited  apartments,Toruń A,warned
vice trade unions,University Council,From
1981  he,underground  initiatives,distanced from underground
18  XII,1981  work,released from
Honorary Citizen,Poland,awarded
1980  Chairman,Leszno ZR,From
underground aid co,families,stopped
Marek Andrzej Borowik,1950  Warsaw,born1
XII 1981 IX 1982,axle,interned in
Committee Civic Committee,trade elections,unions
31 KS Mo,SOR KRPT,as
cultural Catholic Intelligence He,St,acted in
independent printing Kolporteż,central  apartment,located near
1981  VII,1982 Warsaw world,Internified in
permanent European Solidarity which,Mirosław Chojecki,won
Monika Urszula Borowska,1948 Borowska Bialystok,born27
1975  Inspector,Cultural Romych Gołdap,Tamż
Organizer,Delegate Lake District,Included
1983,EC Krypt,Developed under
13  XII,1981  Grodków,interned in
Paweł Bortnik,1932  Tarnopol,Zbigniew
13  XII,1981  axle,interned
provincial Jadwiga who,photographic anniversary masses,In
12/13  XII,1981  axle,interned in
1981,KW Mo crypt sauce,worked
Plastic he,Kolporter Independent Scriptures,arrested for
1968  1969,SO KW crypt,worked
Ludwik Boruta Spiechowicz,1894  Rzeszów,born20
1981  Interned,Complementary Sieradz,released
1980  1985,outz,Developed by
Jerzy Bosowski,III 1965 III Gliwice,born1
He,Polonia Restituta,awarded
Central Trade Region,IX folk,directing
3,axle,interned in
1982  Conservator,electron Piaseczno,plants
Ecole des Hautes,literary Sciences notebooks,Etudes en
1971  1981,outz,Developed by
reportage,Rzeczpospolita  1945,was
1970  participant,social  protests,interrogated
Wielkopolska Poligrafii,1996 Piotr Sowa,Wielgrafii
Jerzy Stefan Broc,1942  Gdańsk,born27
S Alexander which,Suwałki Nt,XII
1981,KW Mo crypt sauce,worked
1984 Jan she,Bis audio cassettes,civic with
1981  Participant,1983 printing hiding,protected
Izabella Bronikowska,1939 Kolonia Volhynia,born
21  II,walking 24 anxiety,interned in
1981 Scientific 1982,Poland,returned to
organizer,Christian Democratic work,In
We,consultation point consultation S,IX
employee,Olsztyn  enterprises,plants
1980  1981,outz,Developed by
- chairman,parliamentary Provincial Election elections,In
then KW KW 6/1982,3 State years,sentenced to
1981  participant,other SFA Polmo strike,dismissed disciplinary
1980 Collaborator MKommisja he,independent  publications,recorded
8 Committee Civic Committee,2010 Bożena Brzezińska,issued
1981 Provincial he,submitted  S,sign
1980 SKS collaborator,independent  scriptures,"including""Write"
1981  Kolporter,Communication Agricultural Academy,appeal to
he,Wrocław,expired by
organizer,1981 ZR Bureau,In
13  XII,1982 III pension,interned in
underground  he,organized  strikes,led
1988  VII,1989 crypt sauce,Retracted by
research  Member,responsible broadcast Warsaw,From
many  includingIn,cultural  heritage,Author of many
He,Polonia Restituta,awarded
1980 strike participant,1981 Incident Committee;VI Delegate,Western
13  XII,12 Prison July,interned
1980  1982,outz,Developed by
1980  1985,family craftsman,helped in
distributor,underground  leaflets,etc
KOR COMMITTEE COMMITTEE CITY,1976 Professional Niezko,R
1980  he,army,refused
editor,Krzysztof Bądkowski,sought after
13  XII,1981 Warsaw December,interned in
Ewa Bugno Zaleska,1949  Frzeborz,born14
1976  Decorator,Social Communal Agricultural plant,employed in
then  Chairwoman,Commission health care,Committee;IV
13  XII,axis Bydgoszcz December,interned in
Ryszard Władysław Bugryn,1938  Jarosław,born19
worker,underground  Jarosław,After
25  VIII,Przemyśl Jarosław Sor Krypt,framework
Polish Vladimir wind,Polish Vladimir Bukowski,author of
1979  March,FacultyIII SOR crypt,worked
13  XII,1981  axle,interned in
Polish Art Auction income,emerging factory Rzeszów,From
VII,1989 EC Krypt,Developed by
13  XII,1982 Nowy July,interned in
1989  member,Commission Southeast S,POIW
1980  1982,outz,Developed by
13  XII,1981  axle,interned in
13  XII,there KW axle,interned
12/13  XII,regional A committee,Białystok
professional  she,1975 Fermical Commission,associated with
Zakładowa  S,pastoral parish OO,collected
1980 strike participant,1981 W River ZR,Map
1982  he,8 day XII,interned in
13  XII,1981  October,interned in
Maciej Jerzy Butkiewicz,1961  Suwałki,born16
8 Complementary VII,Complementary Suwałki,released
1980  1982,outz,Developed by
interregional Jerzy which,1983 Region Śląsko meetings,participant in
1977  clerk,1982  work,removed from
Replica Silesian Solidarity,Józef Handrychik,Fighting
1979 Centrumio signatories,"11 Opinion"";Co Gdańsk",celebrations
1981  organizer,Kraków Łagiewniki,ch
1954–1958 High 1958–1962,Provincial Osr,directorand
1974 Golden Medal,posthumously Solidarności Podbeskidzie,honored
1989  Pastor,priest Perpetual Łódź,parish in
Walenty Cedrych,small  Turku,born1
1980 strike participant,1980 Founding Committee,Committee
12  XII,1981  axle,engaged in
20 IX 1989,Mo SOS KRPT,Developed by
Andrzej Celiński,1950  Warsaw,born26
13  XII,1981  axle,interned in
1989  Participant,Round Table Concept,ch
5  VII,III-1 III K Sor Krypt,Developed by
1 Protest VII,Protest Flavor,released
Mieczysław Chełminiak,1959  Tuchola,born4
1981  Interned,Warsaw Białołęka,released
organizer,Mazovia region,In
He,winner Polcul Foundation Award,awarded
1980 communication he,first South Wielkopolska region,organized
worker,Committee member ourselves,Treasurer
1981 co -organizer,1983 protest amnesty;fired,arrested
1981  1982,Sor Krypt,Developed by
founder,Gazeta Wyborcza,In
harder health WPZP,mental health care,head in
psychiatric specialist XII,1981  work,dismissed
Zbigniew Chłap,1928 Dąbrowa Górnicza,on8
1980 Co organizer,Founding Committee,Vice
participant,Trade Unions Trade 1991,In
1980  1985,outz,Developed by
31  VII,1989 EC Krypt,Developed by
four  days,1981  Szydłowiec,stopped
Lech Chmielewski,1950  Ełk,on8
1980 strike participant,so GSR calledNetworks;In,seconded
Janusz Chmielina,1949  Poznań,born15
"1980 S"";Vice Chairman",1981 Wielkopolska Region;Co Poznań,From
14 release V,anxiety,interned in
Polish Cross,Poland Lithuania,Decorated with
Author,1995  2001,discover
Golden medal,justice,awarded
1983  1988,outz,Developed by
-,1981 Mkisja Zakładyowa Delegate,In
1963 Supreme Coy he,Polish gold badge,performed
13  XII,1982 PBK assistance work,interned in
Andrzej,born14 IV born14 Rutki,walking
yard;Following Tadeusz he,leaflet,reflected in
Mirosław Chojecki,1949  Warsaw,born1
1981  he,office Solidarité à S,remained in
grade COMMITTEE COMMITTEE COMMITTEE,Letter Publisher Chairman Professional Niejrezek,COMMITTEARS
15  XII,1981 Country Defense Łomża,revealed in
1981  1989,Mo  WZ,worked
Józef Cholewa,III 1955 III Żarów,born17
underground  activist,Trade Unions charity internees,Consider
He,Freedom,awarded
13  XII,underground discussion Nysa,interned
He,Polonia Restituta,awarded
I,letters Gdański Region,helped
He,Sokołów Małopolski,runs
1982  X,1987 Sor Krypt,Developed by
IX,1980 Bureau Committee,in
Technical onElectronic Gdańsk University,again Uni Elmor,employed in
8 Jerzy IV,away Military District 3,leaflets
organizer,1980  Fr,In
IV,degree III 1947,revealed
1962  1969,Operating WatchIII KS Krypt,Developed by
13  XII,1981  axle,interned
member,supplement Beskidzka Chronicle,sub-
initiator co S,15 share committee,discloses
12  December,Lublin KW p,worked
30  VII,1985 EC Krypt,Developed by
Józef Antoni Glory,1946  Ostróda,born26
Kazimierz Chwesiuk,1946  Małaszewiches,born1
underground  publishing,v  1982,interned in
1980 shipyard he,information province,conducted
12/13  XII,1981  axle,interned in
25th  badge,trade union Poland Rebirth,deserved for
1981  VII,Mo SOR KRPT,Rusw in
1980  he,Mass,celebrated
1981  he,Christian assistance Legnica,kept
1983  Inviguated,lessons,stopped during
1995  Chairman,1997 Incident Committee,occurrence of
Wiesław Cichoń,1954  Legnica,born26
1981 Incident Co,editorial Polamowska Solidności,strikes at
1986 Radio S,repressed printing persons,emitter
Stanisław Ciebieląg,1948 Jasieniec Iłża,on8
1982  IV,KW MO EC KRPT,Developed by
13  XII,1981  Potulice,interned in
1988  1989,p,Developed by
Teresa Cieplechowicz,1953 Cologne K Krasnystaw,born17
Wojciech Ciesielski,1951  Inowrocław,born15
1980  member,1981 registration Radom,strikes in
13  XII,1981  axle,interned in
distinguished culture activist,Polonia Restituta,awarded
1987  1989,FacultyIII EC crypt,worked
14  XII,poor stomach surgery,detained despite poor
1989,Enterprise Council,Recommended by
20 III 1978,crypt sauce,Developed by
1984  Assistant,1980 Provincial Wrocław,RADCOWSKI
Krzysztof Cieśliński,1952  Poznań,born27
III he,school walls,conducted
1981  he,first Danuta region,printed
employee,1987 Foreign Przedsiębiorstwo Lublin,production
pacified chairman he,responsible  plant,managed
1981 Individual I,Individual Farmers Legnica Legnica,"WZDD""S"
Civic Committee,Independent Self Individual Farmers,Solidarity
Andrzej Ciszewski,1959  Bialystok,born12
3 14 judgment,due  toAmnesty,praise due
Committee Civic Committee,S Warmian Masurian Region,WZD
1981  banner,13  XII,was
1981 protest money,15 employees;13 min,rebounds for
thanks health he,farm,led
28 years VII,1983  amnesty,duplicates
1960  1967,Rzeszów Rzeszów Technology,Academy of
16  XII,Auditioned KW health,leave
Mirosława Czajka,1924  Jaworzno,born22
Tadeusz Czapiga,1944  Łowicz,born5
VIII 1957 VIII Jesus,Society,joined
interned advice they,1982 Roman Kirstein,gave
24  XII,1981  anxiety,interned in
Militari V class,posthumously Polonia Restituta,verified in
COMMISSION COMMISSION COMMISSION S,Kolporter Solidarni,writing
Jerzy Czarnecki,1950  Żary,born12
Oskar Stanisław Czarik,1937  Lviv,born27
13  XII,1981  axle,interned in
1981  Interned,Completion Hunger,released
1981  Kolporter,independent Solidarity day,leaflets
1981  he,homeland,hid on
He,Polonia Restituta,awarded
1971  1976,outz,Developed by
Co  -,KS workplace,member in
13  XII,1981  axle,interned
1980  1982,outz,Developed by
Ignacy Tadeusz Wyżyk,1944  Łosice,born19
15  XII,1981  axle,interned in
XI XII,WatchIII crypt sauce,Developed by WatchIII
1982 Music teacher,State Music Olsztyn,degree in
1980  Chairwoman,Committee Artistic S,Committee in
1981 Olszyński car console,society,participant in
1983  1985,MO crypt sauce,worked
Solidarity Trade Solidarity,1981  Delegate,participant at
1942 Szarych participant,again Gray Włoszczowa,wounded
1980 trade Member,Mazovian Intervention Region,union PTLO;From
13  XII,1981 24 II 1982,interned in
He,Polonia Restituta,awarded
Andrzej Czuma,1938  Lublin,born7
12  XII,1981  axle,engaged in
physical  worker,own Chicago agglomeration,carried
13  XII,7  VII,interned in
Honorary Citizen,Poland,awarded
he,paralysis;Nevertheless,suffered
10 Military District penalty,so -socialist 1955,arrested on
13  XII,1981  Bialystok,interned in
1980,crypt sauce,Developed under
1974 Bielska Factory Brushes,1975,Welux
XII,1981  anxiety,interned in
13  XII,1981  anxiety,interned in
1981  participant,underground Paris);1982–1983 Okopy,ps
nuclear includingCo -author,together attachments II,unions
1964  1973,WatchII Depth,Developed by
1984,SOR crypt,SUSW under
Stanisław Grzegorz Daniel,1936  Kraśnik,born27
12/13  XII,1981  axle,interned in
13  XII,Oct  1982,interned in
1981  1985,outz,Developed by
1981 Telewizja Polska he,times;1985 1989 times;1985 Author,stood in
1982  1983,SOR KRPT,Developed by
IV 24 IV XII,1983 SOR KRPT,WUSN in
organizer,several  plant,In
We,S author Unity,IX
member,Polish Electricians Association,In
22 Ostrów II,District 1,interned
1983  1985,SOR KRPT,Developed by
1979  founder,others10 KPN XI,stopped
where Provincial Hospital he,November,released
17  IV,21 Provincial IV,arrested
1985  March,FacultyIII SOR crypt,worked
Participant,Toruń  Solidarity,led
Leszek Demczuk,1956 Międzyrzec Podlaski,born15
1980  member,1980 Faculty K-5,member of
-,1982  K-5,Slow from
Jarosław Deminet,IX 1955 Grodzisk Mazowiecki,born19
Jerzy Deptuła,1936  Łomża,born20
21  VII,WatchIII crypt sauce,Developed by WatchIII
Committee,Trade Unions Trade Solidarity,committed to
he,war Łaga,escaped from
organizer,plant,In
1981  co,trade union Malbork plants,Editor
organizer,Gdańsk Shipyard,In
9 removal XII,1982 removal Strzebelinki,released
member,Commission,From
1981 Strike participant,electron Piaseczno,plants
1983,Crypt sauce,Mo as
Lidia Dębska,1943 on21 Częstochowa,born
Władysław Dębski,1935 Nice K,born23
15  XII,1981  Wrocław,arrested
Maria Krystyna Dłużewska,1951  Kielce,born26
Polonia Cross,cultural  activist,awarded
1982  Co,printer Lodz Communication,No
He,Polonia Freedom,awarded
1981  1982,Sor Krypt,Developed by WatchV
Artur Dmochowski,1959  Krakow,born13
Independent  activist,1980 publishing houses,Scriptures
he,communists,died
2016  Cross,2010 Polish Journalists,medals
1983  1988,outz,Developed by
Władysław DMuch,1939  Chełm,born26
1982 13 II,anxiety,stopped
1982  1989,KW MO SOR KRPT,Developed by
V,then DYR function,released
Krzysztof Dobcki,1951  Konin,born20
1981  IV,ax,interned in
Czesław Dobropolski,1939  Tarnopol,born26
1956  participant,Delete Polish State school,arrested
1980 Strike Organizer,Polish Management Głogów,appointed in
1982  decision,to mining plants Polkowice,changed
Jerzy Dobrowolski,1965  Łódź,born1
13  XII,1981 Jagiellonian University,moved
1982 Independent Student he,underground  publications,detained several
26 IX 1989,WatchIII  EC,Developed by WatchIII
Solidarity activist,regular SB radio stations,From
Second Elder,1992 Golden 2003,awarded
13  XII,1982 emigration trip,interned in
1975  educator,military Tamka printing Warsaw,avoid military
1980  Chairman,1981 Presidium Committee,Organizer of
31  V,1981  Włocławek,released
Jarosław Decka,1931  Przemyśl,born22
14  XII,1981  axle,interned in
Zdzisław Seweryn Domagała,1942  Radom,on8
1980  1984,outz,Developed by
1981  procedure,amnesty,discontinued on
Mieczysław Domaradzki,1929  Łańcut,born17
XII,1981 production work,transferred to
"Editor underground Editor voice"";We",Editor underground Editor News,scriptures
Jerzy Doroszuk,1958  Szczecin,born20
dozen  minutes,official  al,stopped
1982  XI,WatchIII SOR KRPT,Developed by WatchIII
16 strike XII,1983 State act,participant in
responsible  preparation,leaflets,worker
he,Oława,supported
23  XI,WatchIII SOR KRPT,Developed by WatchIII
Andrzej Drawicz,1932  Warsaw,born20
13  XII,1981 Warsaw Białołęka,Interned in
13  XII,1981  axle,interned
3  1983,MO SOR KRPT,Developed by
1972–1975,St,vicar in
23 IX 1982,WatchIII framework Sor Krypt,Developed by WatchIII
18,KW axle,stopped
1989,active colonel degree,Restored to
13  XII,1982 POL station,interned in
he,terminal  disease,fights with
Eugeniusz Dryniak,1955 Rożniatów K Przeworsk,born17
1980  Participant,1980 chemical S,Police;From
underground Huta participant,48 Solidarity hours,arrived
1981  Pastor,also Wrocław strikes,supported
patriotic  content,underground Radio Free Europe,disseminated in
13  XII,1981  axle,interned
Author,1920 Skutnik recording Gdańsk,includingPoles in
15  1979,outz,Developed by
VIII,1980 Kazimierz strike,brought from
13  XII,1981  axle,interned
1981  he,S Factory Committee,amounted to
1989  co,National Section National disabilities,chiefWorking
13  XII,1981  axle,interned
where  he,financially National Rzeszów,From
V 1982–30,MO EC crypt,worked
1980  participant,29 XI ZR,canceled with
13  XII,1981  anxiety,interned in
opponent,free trade unions,expect
"2007 Citizen"";In husband",Rospuda Valley,Author of
Stanisław Dudek,1949  Gorlice,born15
Several Zdzisław times,48  hours,stopped
27  XII,Nowy Sącz Nowy P,WUSW in
1989  He,USA,went to
1982  VII,1987 SOR KRPT,worked
1981  he,Underground Scriptures,assisted in
1978  VIII,1982 SOR crypt,worked
30  XII,1981  axle,interned in
13  XII,1981  axle,interned in
1980 PhD student,Logic Department Uniwersytet,m
founder,1984 LDPN);23 amnesty,arrested
1984,outz,Developed by
Tadeusz Duszyński,1948  Toruń,born28
1980 strike participant,departmental Szczecin shipyard,seconded to
13  XII,1981  axle,interned
deserved  culture,Polonia Rebirth,awarded
mechanical plantsMarceli 1975,1981 CINEMA CINEMA PP,SERVISOR IN
1982 Supreme remission,1983;Released Tadeusz employment,released on
13  XII,1984 Underground activists,interrogated in
